报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),16701500,16500400,14249700,6855700,1010000,1510100,1086400,2519700,1814000,998600,770000,836400,769800,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),2573200,5119600,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),788700,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),788600,1620700,1319700,1094900,1396300,2877100,2004500,2796100,1595000,211000,365900,1285100,846200,
应收账款(万元),5699300,6849400,5028900,5612600,9083100,6846600,8139500,5872100,4309300,2659200,1298900,2294700,1514400,
预付款项(万元),593700,490100,374900,291900,378000,421600,437000,409600,524700,361400,759700,940200,533100,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),2531200,1646700,2559600,2145200,2925100,1316500,880700,736000,988000,445400,2052000,1182200,1095500,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),18458400,18669300,15651100,14549800,18822300,22190600,21826200,20341700,15654600,14161100,9525500,11604900,9491200,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),2277400,2008700,2042200,2690400,2399600,2138500,100800,83600,59400,85600,28700,10000,59600,
流动资产合计(万元),50412000,52904900,41226100,33240500,36014400,37301000,34475100,32758800,24945000,18922300,14800700,18153500,14309800,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),--,167600,1140800,1032600,86800,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),14572100,13108700,11681200,8297000,8059300,7707800,5206100,4745800,4503700,3350300,2870500,3133500,2354400,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),178326000,172798200,165854100,159914200,148344000,138059000,123665700,115423000,107338200,93295800,82006000,72801300,67279900,
累计折旧(万元),108643500,100307300,91318500,82619700,74364500,67740000,61646500,55696800,50651600,44760800,40199200,35792700,32046700,
固定资产净值(万元),69682500,72490900,74535600,77294500,73979500,70319000,62019200,59726200,56686600,48535000,41806800,37008600,35233200,
固定资产减值准备(万元),7906300,7413500,5476200,4036800,3631000,3359500,3122300,3132600,2616600,2016800,1480300,893800,609200,
固定资产(万元),61776200,65077400,69059400,73257700,70348500,66959500,58896900,56593600,54070000,46518200,40326500,36114800,34624000,
在建工程(万元),--,11864500,12958100,15227600,17766700,16063000,16897700,11131100,8959900,11978600,12188600,9540800,5300000,
工程物资(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
固定资产清理(万元),5000,--,--,--,--,--,--,--,--,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
无形资产(万元),10385500,9712600,8502300,8108100,7868100,6026300,4983400,3484200,2744000,2286200,1596500,1523200,926500,
开发支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
商誉(万元),867600,863400,635300,627100,628100,625500,625700,821200,829800,1416300,1432800,1569000,1452500,
长期待摊费用(万元),1565900,1472000,1353700,1391900,1415800,1196100,1024600,907600,756000,628100,655700,584200,475700,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税资产(万元),2169400,1513100,721400,746900,697900,414100,1513000,1339800,1557800,1368300,1251000,1019200,676000,
其他非流动资产(万元),3635800,2866200,2582600,2383500,2251200,1998300,1104600,1223200,172700,179200,101200,219000,153100,
非流动资产合计(万元),108818800,106645500,108634800,111072400,109122400,100990600,90252000,80246500,73593900,67725200,60422800,53703700,45962200,
资产总计(万元),159230800,159550400,149860900,144312900,145136800,138291600,124727100,113005300,98538900,86647500,75223500,71857200,60272000,
短期借款(万元),4469200,5470100,3037400,7472900,16668800,10812100,7022800,3698500,2929800,3490000,6397200,3695400,3572500,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融负债(万元),1357100,--,--,--,--,--,--,--,--,0,0,0,0,
应付票据(万元),641600,646200,582800,356600,457700,452600,665600,593300,381800,2311100,1749300,1216200,2171400,
应付账款(万元),18634100,20007300,17430100,13044600,19836600,20272400,21562800,17700200,13252800,9774900,5666700,9304900,5276700,
预收账款(万元),--,12073400,9592800,9264900,8991800,8107900,6929900,6668600,5732400,3727000,2978300,2508200,1946600,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付职工薪酬(万元),731200,716200,161800,118500,83900,81800,183800,179500,744400,452600,177800,590500,501600,
应交税费(万元),8706000,7194000,5288600,3247300,2867700,3588800,2198500,3962200,3381400,1648900,705700,1756200,1462300,
应付利息(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付股利(万元),--,684300,--,--,--,--,--,--,--,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
其他应付款(万元),--,8485000,7963600,8631700,10330200,8291700,6172100,5766200,5487100,4967600,4697200,4750300,3571000,
预提费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
应付短期债券(万元),--,--,600000,3000000,--,1000000,3000000,--,100000,3100000,1500000,1007400,1188500,
一年内到期的非流动负债(万元),1745000,2668100,3897200,1127700,1189000,4574900,1575400,4338800,553000,664100,1951100,1346600,1587000,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
流动负债合计(万元),56509800,57944600,48554300,46264200,60425700,57182200,49310900,42907300,32562700,30136200,25823300,26175700,21277600,
长期借款(万元),6157600,6775400,6246100,5649300,6742600,4645200,4026700,5432000,5889500,5206500,6493700,7770800,9713700,
应付债券(万元),3195100,3137000,5498500,8325300,8350600,9913800,12184900,10013700,11518000,9376300,6220700,4260600,350000,
长期应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
预计非流动负债(万元),4280000,3995800,3929800,3318600,2971500,2608000,2159100,1838100,1557300,1152900,928000,761300,531000,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
递延所得税负债(万元),594800,646600,766100,825900,782000,797700,1604300,1518100,1501700,497900,523500,149200,102000,
其他非流动负债(万元),2727600,1644000,1613600,1367300,1154900,818700,381100,343600,241500,219200,139700,104900,117800,
非流动负债合计(万元),16955100,16198800,18054100,19486400,20001600,18783400,20356100,19145500,20708000,16452800,14305600,13046800,10814500,
负债合计(万元),73464900,74143400,66608400,65750600,80427300,75965600,69667000,62052800,53270700,46589000,40128900,39222500,32092100,
实收资本(或股本)(万元),12107100,12107100,12107100,12107100,11828000,11656500,8682000,8670200,8670200,8670200,8670200,8670200,8670200,
资本公积(万元),11919200,11955700,11952500,11940800,4870300,3941300,3057400,2958300,2941400,3820200,3851800,3839100,3855300,
减:库存股(万元),--,--,--,--,--,--,--,--,--,0,0,0,0,
