报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),104878,63509,53879,48376,54163,50635,45380,45950,39703,32559,40141,38376,
营业收入(万元),104878,63509,53879,48376,54163,50635,45380,45950,39703,32559,40141,38376,
利息收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),107538,60734,43904,43162,49912,42702,33761,34274,30840,25920,36445,34741,
营业成本(万元),86402,43489,32793,32411,40143,34886,29500,30907,26192,22105,31944,31574,
利息支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),3378,--,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),1137,882,587,326,286,273,191,241,187,199,189,24,
销售费用(万元),3104,2147,1592,1582,1977,1819,1672,1581,1422,1206,1874,1715,
管理费用(万元),9366,11477,8587,7963,7125,6160,3696,3251,2873,1945,1643,1315,
财务费用(万元),3190,1321,276,714,429,-507,-1325,-1726,159,467,530,306,
资产减值损失(万元),961,1417,69,167,-47,71,26,19,7,-2,266,-193,
公允价值变动收益(万元),--,--,102,-56,-45,--,--,--,--,0,0,0,
投资收益(万元),1443,1266,1192,2282,2454,473,350,9,--,0,0,0,
对联营企业和合营企业的投资收益(万元),-439,-383,-98,-148,609,439,-10,--,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),-600,4229,11269,7439,6659,8406,11969,11685,8863,6640,3696,3636,
营业外收入(万元),345,133,328,331,385,227,132,566,76,228,256,38,
营业外支出(万元),56,36,243,50,57,45,38,62,59,293,56,66,
非流动资产处置损失(万元),--,--,178,1,1,0,-11,-23,8,256,23,40,
利润总额(万元),-311,4327,11354,7721,6987,8588,12063,12189,8880,6575,3896,3607,
所得税费用(万元),1887,1810,1953,1291,1019,1260,1851,1870,1445,1675,999,2056,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),-2198,2516,9401,6430,5968,7328,10212,10319,7435,4900,2896,1551,
归属于母公司所有者的净利润(万元),3592,6800,10340,6777,6021,7324,10210,10319,7435,4900,2896,1551,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,0,0,0,
少数股东损益(万元),-5789,-4284,-939,-348,-53,4,2,--,--,0,0,0,
基本每股收益,0.04,0.08,0.12,0.08,0.14,0.43,0.6,0.6,0.93,0.61,0.36,0.19,
稀释每股收益,0.04,0.08,0.12,0.08,0.14,0.43,0.6,0.6,0.93,0.61,0.36,0.19,
