报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
营业总收入(万元),693453,535153,343550,247756,194938,168340,113537,124345,99436,71772,60527,42494,46027,37618,16121,12023,
营业收入(万元),693453,535153,343550,247756,194938,168340,113537,124345,99436,71772,60527,42494,44835,36541,16010,11957,
利息收入(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,0,0,0,0,1192,1077,111,66,
营业总成本(万元),668131,527740,315570,228414,197551,160912,115278,112222,89429,66320,55731,38821,43901,32857,13370,10490,
营业成本(万元),365421,283412,175103,124986,112207,88161,57392,68080,54903,38280,29299,22851,30027,25847,9650,7802,
利息支出(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
研发费用(万元),77394,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
营业税金及附加(万元),5326,5048,3720,1886,1148,1584,914,900,357,254,186,54,65,36,2,4,
销售费用(万元),103772,91393,59532,44440,34622,29753,23185,16757,12069,9135,8860,4876,4963,3010,1663,1293,
管理费用(万元),75270,129771,67834,49695,38924,35834,30714,23335,19092,16613,14558,9319,7774,3521,1892,1182,
财务费用(万元),23764,9432,1407,3372,7350,2411,845,1404,2167,1493,2043,1269,1072,442,162,208,
资产减值损失(万元),17184,8684,7974,4034,3301,3169,2229,1746,840,545,807,452,0,0,0,0,
公允价值变动收益(万元),106,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
投资收益(万元),--,911,314,116,275,771,--,--,0,0,22,0,0,135,0,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,0,0,0,0,82,0,65,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
营业利润(万元),51123,24400,28294,19458,-2337,8199,-1741,12123,10007,5452,4795,3673,2127,4761,2751,1533,
营业外收入(万元),945,408,14067,9962,8491,7734,5250,4399,3000,2041,812,372,91,150,73,16,
营业外支出(万元),334,147,405,233,179,211,65,108,61,40,304,12,17,61,13,10,
非流动资产处置损失(万元),--,--,256,31,25,153,--,37,33,14,10,0,0,0,0,0,
利润总额(万元),51734,24662,41956,29188,5976,15721,3444,16414,12946,7453,5303,4032,2283,4985,2875,1539,
所得税费用(万元),4053,175,1773,3869,1649,2214,111,1812,1327,735,884,595,171,374,216,115,
未确认投资损失(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
净利润(万元),47680,24486,40183,25318,4327,13507,3333,14602,11619,6718,4420,3437,2112,4611,2659,1424,
归属于母公司所有者的净利润(万元),47681,24486,40183,25318,4327,13507,3333,14602,11619,6733,4410,3437,2112,4611,2659,1424,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,
少数股东损益(万元),-0,-0,--,--,--,--,--,--,0,-14,10,0,0,0,0,0,
基本每股收益,0.26,0.14,0.25,0.16,0.06,0.49,0.12,0.59,0.59,0.42,0.28,0,0,0,0,0,
稀释每股收益,0.26,0.14,0.25,0.16,0.06,0.49,0.12,0.59,0.59,0.42,0.28,0,0,0,0,0,
