报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2010-12-31,2009-12-31,
营业总收入(万元),257780,216400,209502,175579,173469,177307,200712,159366,124486,
营业收入(万元),257780,216400,209502,175579,173469,177307,200712,159366,124486,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),220263,209809,185264,174975,169878,176468,192920,148198,116508,
营业成本(万元),213738,202813,176824,167129,160238,167737,185082,142572,112000,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),180,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),882,882,974,12,9,20,21,14,7,
销售费用(万元),1605,1745,1742,1690,1140,1166,1259,1021,714,
管理费用(万元),4678,4691,5394,5191,5944,5694,6429,4111,3222,
财务费用(万元),-1011,-919,-83,627,1722,693,273,374,499,
资产减值损失(万元),192,597,413,326,825,1157,-142,106,65,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),3887,2587,421,495,506,82,60,20,10,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),42973,9451,24659,1099,4096,921,7852,11188,7989,
营业外收入(万元),158,839,628,1380,401,3921,867,111,183,
营业外支出(万元),897,160,707,223,18,80,25,17,--,
非流动资产处置损失(万元),--,--,702,201,10,59,17,12,--,
利润总额(万元),42235,10130,24580,2255,4480,4762,8694,11283,8172,
所得税费用(万元),11,-60,60,--,46,--,16,17,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),42224,10190,24520,2255,4434,4762,8678,11266,8172,
归属于母公司所有者的净利润(万元),40196,10197,24552,2256,4434,4762,8678,10824,7501,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),2028,-6,-32,-0,--,--,--,441,670,
基本每股收益,1.3,0.56,1.49,0.15,0.37,0.4,0.73,0.91,--,
稀释每股收益,1.3,0.56,1.49,0.15,0.37,0.4,0.73,0.91,--,
