报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),437796,361695,272077,184924,
营业收入(万元),437796,361695,272077,184924,
利息收入(万元),--,--,--,--,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),--,--,--,--,
营业总成本(万元),402268,339430,264351,179516,
营业成本(万元),330772,279698,212541,148704,
利息支出(万元),--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),17314,13301,11156,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),1628,2235,1314,803,
销售费用(万元),36811,27051,20832,14946,
管理费用(万元),12531,11709,16526,13918,
财务费用(万元),-2327,2605,94,342,
资产减值损失(万元),5540,2831,1889,802,
公允价值变动收益(万元),--,--,--,--,
投资收益(万元),134,269,165,--,
对联营企业和合营企业的投资收益(万元),--,142,104,--,
汇兑收益(万元),--,--,--,--,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),37530,23621,8820,5936,
营业外收入(万元),1460,122,159,304,
营业外支出(万元),34,13,8,0,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),38957,23730,8970,6240,
所得税费用(万元),5167,3229,2195,690,
未确认投资损失(万元),--,--,--,--,
净利润(万元),33790,20500,6775,5550,
归属于母公司所有者的净利润(万元),33623,20433,6176,5449,
被合并方在合并前实现净利润(万元),--,-260,1664,-300,
少数股东损益(万元),167,67,599,102,
基本每股收益,3.27,2.09,--,--,
稀释每股收益,3.27,2.09,--,--,
