报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),52598,43647,38521,38411,36458,23862,28494,
营业收入(万元),52598,43647,38521,38411,36458,23862,28494,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),37616,36672,31081,33502,32046,21910,24097,
营业成本(万元),29410,29464,25104,28114,26577,17080,19290,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),2192,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),585,435,381,273,192,116,118,
销售费用(万元),979,868,788,753,766,651,777,
管理费用(万元),4957,5460,4698,4161,3688,3105,3097,
财务费用(万元),-421,386,106,294,621,787,1051,
资产减值损失(万元),-85,59,4,-93,202,172,-236,
公允价值变动收益(万元),--,--,394,-394,--,--,--,
投资收益(万元),601,254,-738,--,--,11,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),15351,6996,7096,4516,4412,1963,4397,
营业外收入(万元),801,548,347,613,441,430,208,
营业外支出(万元),83,29,271,189,111,78,135,
非流动资产处置损失(万元),--,--,143,70,10,--,--,
利润总额(万元),16069,7514,7172,4939,4742,2315,4470,
所得税费用(万元),2321,993,1145,764,1051,415,818,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),13748,6521,6026,4175,3691,1900,3652,
归属于母公司所有者的净利润(万元),13748,6521,6026,4175,3691,1900,3652,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,
基本每股收益,1.15,0.59,0.67,0.46,0.41,0.21,0.41,
稀释每股收益,1.13,0.59,0.67,0.46,0.41,0.21,0.41,
