报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),32,2,17,31,131,95,105,31,154,520,1676,1204,751,1948,
营业收入(万元),32,2,17,31,131,95,105,31,154,520,1676,1204,751,1948,
利息收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
营业总成本(万元),176,216,302,261,1180,2032,2228,1676,2492,2237,5059,4479,4119,47244,
营业成本(万元),2,1,70,32,125,112,90,18,52,726,1486,1065,544,1801,
利息支出(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
营业税金及附加(万元),25,24,0,1,0,0,0,0,3,9,23,20,7,8,
销售费用(万元),--,--,--,--,--,--,3,--,9,28,33,53,46,51,
管理费用(万元),207,225,262,287,293,354,350,390,579,1216,1503,1167,1421,1995,
财务费用(万元),-0,0,0,0,818,1636,1636,1636,1786,1799,1928,1922,2022,2044,
资产减值损失(万元),-57,-34,-31,-59,-56,-70,149,-368,64,-1541,86,252,80,41346,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,0,--,--,189,--,11,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
营业利润(万元),-144,-214,-285,-229,-1050,-1938,-2123,-1645,-2338,-1716,-3383,-3086,-3368,-45285,
营业外收入(万元),0,--,--,--,--,--,0,--,0,--,1,3,0,--,
营业外支出(万元),--,--,42,--,0,--,--,44,2,1293,1,5,27,1586,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,0,1292,--,5,23,4,
利润总额(万元),-144,-214,-326,-229,-1050,-1938,-2123,-1689,-2340,-3009,-3383,-3088,-3395,-46871,
所得税费用(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,
净利润(万元),-144,-214,-326,-229,-1050,-1938,-2123,-1689,-2340,-3009,-3383,-3088,-3395,-46871,
归属于母公司所有者的净利润(万元),-142,-211,-322,-225,-1046,-1932,-2121,-1680,-2318,-3003,-3377,-3085,-3376,-46368,
被合并方在合并前实现净利润(万元),--,--,-4,--,--,--,--,--,0,--,--,--,--,--,
少数股东损益(万元),-2,-3,--,-4,-4,-6,-3,-9,-22,-6,-6,-3,-19,-503,
基本每股收益,-0.01,-0.01,-0.01,-0.01,-0.04,-0.07,-0.08,-0.06,-0.09,-0.11,-0.13,-0.12,-0.13,-1.78,
稀释每股收益,-0.01,-0.01,-0.01,-0.01,-0.04,-0.07,-0.08,-0.06,-0.09,-0.11,-0.13,-0.12,-0.13,-1.78,
