报告日期,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1830532,1460910,840603,
营业收入(万元),1713360,1460910,840603,
利息收入(万元),--,--,--,
已赚保费(万元),--,--,--,
手续费及佣金收入(万元),--,--,--,
房地产销售收入(万元),--,--,--,
其他业务收入(万元),117171,--,--,
营业总成本(万元),1829747,1415548,797044,
营业成本(万元),1615105,1332532,736555,
利息支出(万元),--,--,--,
手续费及佣金支出(万元),--,--,--,
房地产销售成本(万元),--,--,--,
研发费用(万元),--,--,--,
退保金(万元),--,--,--,
赔付支出净额(万元),--,--,--,
提取保险合同准备金净额(万元),--,--,--,
保单红利支出(万元),--,--,--,
分保费用(万元),--,--,--,
其他业务成本(万元),109364,--,--,
营业税金及附加(万元),3152,10725,2758,
销售费用(万元),13475,7254,7843,
管理费用(万元),35753,32496,29974,
财务费用(万元),45466,33252,19962,
资产减值损失(万元),7432,-710,-48,
公允价值变动收益(万元),--,--,--,
投资收益(万元),2061,2898,1884,
对联营企业和合营企业的投资收益(万元),1981,--,--,
汇兑收益(万元),--,--,--,
期货损益(万元),--,--,--,
托管收益(万元),--,--,--,
补贴收入(万元),--,--,--,
其他业务利润(万元),--,--,--,
营业利润(万元),2846,48260,45443,
营业外收入(万元),951,99,70,
营业外支出(万元),2699,480,161,
非流动资产处置损失(万元),1790,--,--,
利润总额(万元),1098,47879,45353,
所得税费用(万元),-1703,3028,12523,
未确认投资损失(万元),--,--,--,
净利润(万元),2801,44851,32830,
归属于母公司所有者的净利润(万元),2808,43361,30724,
被合并方在合并前实现净利润(万元),--,--,--,
少数股东损益(万元),-7,1490,2106,
基本每股收益,0.03,0.44,0.37,
稀释每股收益,0.03,0.44,0.37,
