报告日期,2007-12-31,2006-12-31,
营业总收入(万元),291988,238217,
营业收入(万元),291988,238217,
利息收入(万元),--,--,
已赚保费(万元),--,--,
手续费及佣金收入(万元),--,--,
房地产销售收入(万元),--,--,
其他业务收入(万元),--,--,
营业总成本(万元),290970,240529,
营业成本(万元),253175,202771,
利息支出(万元),--,--,
手续费及佣金支出(万元),--,--,
房地产销售成本(万元),--,--,
研发费用(万元),--,--,
退保金(万元),--,--,
赔付支出净额(万元),--,--,
提取保险合同准备金净额(万元),--,--,
保单红利支出(万元),--,--,
分保费用(万元),--,--,
其他业务成本(万元),--,--,
营业税金及附加(万元),1062,1123,
销售费用(万元),13331,11765,
管理费用(万元),21559,23912,
财务费用(万元),1796,1979,
资产减值损失(万元),47,-1022,
公允价值变动收益(万元),--,--,
投资收益(万元),44206,59666,
对联营企业和合营企业的投资收益(万元),--,--,
汇兑收益(万元),--,--,
期货损益(万元),--,--,
托管收益(万元),--,--,
补贴收入(万元),--,--,
其他业务利润(万元),--,--,
营业利润(万元),45225,57354,
营业外收入(万元),216,89,
营业外支出(万元),123,23,
非流动资产处置损失(万元),--,--,
利润总额(万元),45317,57419,
所得税费用(万元),1538,1434,
未确认投资损失(万元),--,--,
净利润(万元),43779,55985,
归属于母公司所有者的净利润(万元),44066,56039,
被合并方在合并前实现净利润(万元),--,--,
少数股东损益(万元),-288,-54,
基本每股收益,0.85,1.08,
稀释每股收益,0.85,1.08,
