报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
营业总收入(万元),15828700,13997500,15706000,15434800,12489800,10928700,8761900,5987000,4345591,3167905,2971498,2205541,1364958,973659,741795,565527,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
利息收入(万元),27057800,25264400,23627900,25597200,21941400,18960200,15575500,10844700,7097561,5003880,5252486,4019765,2495387,1724635,1240167,951093,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
手续费及佣金收入(万元),4706200,4202700,3868200,3359200,2841200,2473600,1568100,941800,522895,348217,292457,182916,60756,31607,23455,14996,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
其他业务收入(万元),89300,118100,21400,31400,7000,5600,4700,3300,4044,4014,4661,9824,5543,12773,-8376,3306,
营业总成本(万元),9037300,7516200,9367800,9153800,6470800,5520900,4155100,2633800,1955916,1446227,1574479,1120685,864522,620833,460981,359066,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
利息支出(万元),17492100,16419300,12396000,13613800,12385400,10375700,8356200,5771300,3294383,2283707,2633241,1935166,1170290,794089,510556,401220,
手续费及佣金支出(万元),408400,328800,213000,140200,137100,97400,73400,57300,42779,36618,30073,31130,17480,7884,4149,2648,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
其他业务成本(万元),49700,55000,33400,47400,24800,43300,54400,34700,29479,14911,2331,5167,0,0,0,0,
营业税金及附加(万元),140800,97500,566700,1295500,910500,783100,574800,429100,291466,232114,195651,147115,98054,73964,55089,40569,
销售费用(万元),4206400,3813000,3640100,3284900,2945100,2875700,2287700,1878400,1400721,1147356,1034854,800519,526227,388774,287689,207773,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
资产减值损失(万元),4640400,3550700,5127600,4526000,2590400,1818800,1238200,291600,234250,51846,341642,167884,240242,158094,118203,110723,
公允价值变动收益(万元),291900,-62200,-375600,137800,163100,-114200,33900,-28300,17467,-1326,-12437,-4965,-8958,6618,1254,0,
投资收益(万元),2648200,451400,1183600,348200,-9600,2200,-34600,32400,35439,100751,45082,-53092,0,0,0,0,
对联营企业和合营企业的投资收益(万元),26500,29200,24600,27500,26400,24800,22100,19700,--,--,0,0,0,0,0,0,
汇兑收益(万元),-1129800,738600,-10500,-285000,69200,74400,43900,21700,5347,32692,52562,17389,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
营业利润(万元),6791400,6481300,6338200,6281000,6019000,5407800,4606800,3353200,2389675,1721678,1397019,1084856,500436,352826,280815,206461,
营业外收入(万元),33500,37300,66900,56100,57100,31300,18700,16600,19297,13912,9752,8858,6468,3469,2660,2845,
营业外支出(万元),17200,43300,12600,12700,16300,13000,6200,3400,8436,12641,3042,2697,2284,1823,3182,1697,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
利润总额(万元),6807700,6475300,6392500,6324400,6059800,5426100,4619300,3366400,2400536,1722949,1403729,1091017,504620,354472,280292,207609,
所得税费用(万元),683200,701800,959800,1259400,1306800,1275000,1126600,806700,548478,394754,265226,232440,124795,107975,103733,64213,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,
净利润(万元),6124500,5773500,5432700,5065000,4753000,4151100,3492700,2559700,1852058,1328194,1138503,858577,379826,246497,176559,143396,
归属于母公司所有者的净利润(万元),6062000,5720000,5385000,5020700,4713800,4121100,3471800,2550500,1852058,1328194,1138503,858577,379826,246497,176559,143396,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
少数股东损益(万元),62500,53500,47700,44300,39200,30000,20900,9200,--,--,0,0,0,0,0,0,
基本每股收益,2.85,2.74,2.77,2.63,2.47,2.16,3.22,2.36,3.28,2.66,2.28,1.75,0.95,0.62,0.48,0.48,
稀释每股收益,2.85,2.74,2.77,2.63,2.47,2.16,3.22,2.36,3.28,2.66,2.28,1.75,0.95,0.62,0.48,0.48,
