报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),65889100,62165900,60509000,60519700,57047000,50860800,46074600,39709000,32348900,26718400,26750700,21945900,15021200,12726800,11257900,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
利息收入(万元),81102600,75015400,69663700,77055900,73912600,64625300,60324100,48224700,37778300,33946300,35650000,28482300,21518900,17360100,14719600,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金收入(万元),13801700,13132200,12786300,12140400,11223800,10743200,9621800,8949400,6815600,4983900,4005600,3273100,1462700,926100,735200,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务收入(万元),2869500,3057100,4826500,2120300,1703000,797800,686700,174700,79400,66900,37200,33200,28600,64000,32700,
营业总成本(万元),35037700,32347300,31270100,30910700,27322300,23063600,21046000,17941800,14978500,12958200,14890000,11892400,8540800,7274500,6110700,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
利息支出(万元),32474800,29769800,27883800,31280700,30172800,25670900,25003900,17767500,12628300,12757800,13158000,9204800,7482100,5705000,4570800,
手续费及佣金支出(万元),1498200,1352400,935400,787400,372100,314900,271100,250000,202400,178000,161000,141800,105600,80600,88100,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务成本(万元),2604900,3122600,4920400,2178500,1650400,708700,562000,111200,33600,25000,11600,16700,14100,8700,7200,
营业税金及附加(万元),613200,576700,1747300,3630300,3498300,3164800,3023300,2422900,1836400,1597200,1579300,1233700,897700,740100,645900,
销售费用(万元),16720800,15911800,15282000,15738000,15982500,14869200,13456600,11829400,10179300,8790000,8216200,7882500,5707600,4999900,4521800,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
资产减值损失(万元),--,12736200,9320400,9363900,6191100,4320900,4004100,3578300,2929200,2546000,5082900,2759500,1921400,1525800,935800,
公允价值变动收益(万元),14400,-3200,-141200,334400,-26300,-132500,-66100,-139600,165900,92400,197700,65900,34900,21000,-17400,
投资收益(万元),1458600,641100,1911200,665200,602000,631800,632700,372200,401500,589700,-85000,220000,170600,271800,395800,
对联营企业和合营企业的投资收益(万元),14000,16100,6900,27500,24500,6000,2800,2400,3400,1700,1600,2100,0,0,0,
汇兑收益(万元),615300,1445500,281700,271600,176800,181000,150400,145100,-61100,-25000,264200,-782000,-606800,-130600,50900,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业利润(万元),30851400,29818600,29238900,29609000,29724700,27797200,25028600,21767200,17370400,13760200,11860700,10053500,6480400,5452300,5147200,
营业外收入(万元),107000,398300,425700,392500,316000,273700,194100,243600,242500,237100,242100,143200,138200,144900,115600,
营业外支出(万元),142400,238200,143600,151800,132100,90300,78800,100100,97300,124800,128700,115100,46900,60800,142900,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
利润总额(万元),30816000,29978700,29521000,29849700,29908600,27980600,25143900,21910700,17515600,13872500,11974100,10081600,6571700,5536400,5119900,
所得税费用(万元),5253400,5617200,6282100,6961100,7083900,6468400,5783700,4966800,4012500,3188900,2709900,3167400,1939800,826800,215900,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
净利润(万元),25562600,24361500,23238900,22888600,22824700,21512200,19360200,16943900,13503100,10683600,9264200,6914200,4631900,4709600,4904000,
归属于母公司所有者的净利润(万元),25465500,24226400,23146000,22814500,22783000,21465700,19317900,16925800,13484400,10675600,9259900,6905300,4632200,4710300,4904200,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
少数股东损益(万元),97100,135100,92900,74100,41700,46500,42300,18100,18700,8000,4300,8900,-300,-700,-200,
基本每股收益,1,0.96,0.92,0.91,0.91,0.86,0.77,0.68,0.56,0.46,0.4,0.3,0.21,0.24,0.26,
稀释每股收益,1,0.96,0.92,0.91,0.91,0.86,0.77,0.68,0.56,0.46,0.4,0.3,0.21,0.24,0.26,
