报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
营业总收入(万元),50410700,48327800,48363000,47432100,45633100,40750800,36609100,32816600,27681700,23219800,22828800,18066900,14607400,11602800,10473700,9283900,7720100,6563900,5924200,5071700,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
利息收入(万元),68790000,62261600,56613900,61505600,60268000,51899500,50652800,41310200,31353300,26142400,28692700,26187100,21533400,16734500,12890300,11227400,9931200,13319500,14711000,14190800,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
手续费及佣金收入(万元),9999700,10080000,9831900,10090500,9853800,8858500,7519800,7001800,5921400,5023400,4371200,3155400,1713900,1269800,1138800,956800,--,--,996500,726400,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
其他业务收入(万元),4243400,4408800,3571500,3227400,2779400,3133200,2605900,2114400,1843900,1712900,1719100,1662400,1079200,214200,136500,71300,1097500,1470900,113600,163900,
营业总成本(万元),27562200,26104900,26361900,24394500,22541200,19531700,17878600,15962700,13465400,12164000,14213500,9246200,8012000,5128400,7069300,3801300,6036600,5548800,3141000,2834300,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
利息支出(万元),32819400,28422700,26009100,28640600,28157800,23541000,24956400,18503800,11957100,10254300,12399100,10912600,9396300,6694000,4391800,4037000,4344300,8226500,10215000,10467700,
手续费及佣金支出(万元),1278900,1210900,965500,849500,729800,649300,527500,535600,473100,422100,376500,406600,281600,345100,283100,221500,--,--,182500,322500,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
其他业务成本(万元),2997400,3124900,2891700,2372400,2042000,2309500,2003800,1318000,1269200,1393200,1378000,0,--,--,0,--,--,--,51400,38100,
营业税金及附加(万元),474400,467600,981000,2673400,2622400,2396500,2292500,1858100,1441400,1164500,1136700,0,--,568000,498100,397200,338800,464300,524700,552200,
销售费用(万元),14161000,13696300,13582000,13421300,13038700,12474700,11643600,10851100,9455500,8107600,7195700,8421000,6777800,4560400,4191500,3404100,3026700,2765100,2382400,1921500,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
资产减值损失(万元),--,8816100,8907200,5927400,4838100,2351000,1938700,1935500,1299300,1498700,4503100,825200,1234200,1098500,2379700,-1643200,--,2319400,--,1600300,
公允价值变动收益(万元),65400,228900,183400,26400,268400,202500,195300,436700,131700,-924400,-52900,0,--,--,0,--,--,--,--,--,
投资收益(万元),1867900,1215500,4514800,1066600,365800,249000,1471900,1898000,927700,2135700,3443800,-1552600,176400,-24800,107800,841300,1035700,--,67100,88500,
对联营企业和合营企业的投资收益(万元),211000,116200,89700,233400,131900,109200,61300,51600,102900,82100,72600,126300,63200,-24800,0,--,--,--,--,--,
汇兑收益(万元),-457400,-233400,622100,1005700,985300,598400,-352700,-905100,-66100,-193800,-2569500,-66200,--,--,0,--,--,--,251000,369800,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,--,--,
