报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),33230,30714,25153,37859,54375,55751,48849,44023,
营业收入(万元),33230,30714,25153,37859,54375,55751,48849,44023,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),33032,30648,25048,33430,49123,50987,43913,38133,
营业成本(万元),20933,18660,15757,23283,36412,36472,30790,26870,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),1954,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),543,605,534,409,209,360,332,276,
销售费用(万元),3374,2644,2506,2601,3344,4877,4568,3452,
管理费用(万元),5194,6137,6348,6665,7838,7979,7002,6520,
财务费用(万元),-122,-224,38,255,472,608,636,524,
资产减值损失(万元),1156,2826,-135,217,848,691,586,490,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,
投资收益(万元),246,118,2292,--,38,0,5,88,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,14,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),2522,204,2396,4429,5290,4765,4940,5979,
营业外收入(万元),318,1137,992,449,704,1194,1151,262,
营业外支出(万元),10,8,8,31,41,13,53,38,
非流动资产处置损失(万元),--,--,4,6,21,3,1,34,
利润总额(万元),2829,1333,3381,4847,5953,5947,6039,6203,
所得税费用(万元),347,207,570,854,1034,871,1080,1051,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),2482,1126,2811,3992,4920,5076,4959,5152,
归属于母公司所有者的净利润(万元),1510,1103,2814,3992,4803,4904,4814,5188,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),972,23,-3,-0,117,172,145,-36,
基本每股收益,0.16,0.12,0.33,0.57,0.69,0.7,0.69,0.74,
稀释每股收益,0.16,0.12,0.33,0.57,0.69,0.7,0.69,0.74,
