报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),596434,431881,216469,162864,135850,102589,77234,63145,
营业收入(万元),596434,431881,216469,162864,135850,102589,77234,63145,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),545095,393872,200553,150867,126086,93793,69926,56027,
营业成本(万元),432348,310284,155649,118574,99904,73696,54268,41026,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),4431,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),2676,1776,732,396,283,403,362,322,
销售费用(万元),44076,37169,20527,15611,12782,10050,8039,8774,
管理费用(万元),31954,29179,16443,11011,9362,7432,6141,5128,
财务费用(万元),18825,10710,5095,3344,2956,1404,624,543,
资产减值损失(万元),10785,4754,2107,1930,799,808,492,233,
公允价值变动收益(万元),-1976,-799,--,--,--,--,--,--,
投资收益(万元),7010,913,1438,-35,-175,--,--,--,
对联营企业和合营企业的投资收益(万元),6099,865,987,-35,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),57774,38064,17354,11963,9590,8796,7308,7118,
营业外收入(万元),1551,712,742,806,776,652,941,293,
营业外支出(万元),140,107,132,175,57,231,114,16,
非流动资产处置损失(万元),--,--,57,149,29,19,6,11,
利润总额(万元),59185,38669,17965,12593,10309,9216,8135,7394,
所得税费用(万元),15981,8936,4745,3351,2798,2422,2254,1895,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),43205,29733,13220,9243,7511,6794,5881,5499,
归属于母公司所有者的净利润(万元),26195,21919,11643,9176,7516,6794,5879,5450,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),17009,7814,1577,67,-6,--,2,50,
基本每股收益,0.45,0.38,0.41,1.09,1.07,0.96,0.83,0.82,
稀释每股收益,0.45,0.38,0.41,1.09,1.07,0.96,0.83,0.82,
