 报告日期,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),289804,190203,180894, 
 客户存款和同业存放款项净增加额(万元),--,--,--, 
 向中央银行借款净增加额(万元,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--, 
 收到再保险业务现金净额(万元),--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--, 
 拆入资金净增加额(万元),--,--,--, 
 回购业务资金净增加额(万元),--,--,--, 
 收到的税费返还(万元),--,--,--, 
 收到的其他与经营活动有关的现金(万元),1837,53874,42364, 
 经营活动现金流入小计(万元),291641,244077,223257, 
 购买商品、接受劳务支付的现金(万元),279968,158965,156944, 
 客户贷款及垫款净增加额(万元),--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--, 
 支付保单红利的现金(万元),--,--,--, 
 支付给职工以及为职工支付的现金(万元),19360,25206,21275, 
 支付的各项税费(万元),2304,12778,13728, 
 支付的其他与经营活动有关的现金(万元),4326,53321,30383, 
 经营活动现金流出小计(万元),305958,250272,222331, 
 经营活动产生的现金流量净额(万元),-14317,-6195,927, 
 收回投资所收到的现金(万元),2240,1196,--, 
 取得投资收益所收到的现金(万元),--,--,57, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--, 
 投资活动现金流入小计(万元),2240,1196,58, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),689,616,544, 
 投资所支付的现金(万元),--,--,--, 
 质押贷款净增加额(万元),--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--, 
 支付的其他与投资活动有关的现金(万元),9,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--, 
 投资活动现金流出小计(万元),698,616,544, 
 投资活动产生的现金流量净额(万元),1542,580,-487, 
 吸收投资收到的现金(万元),--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--, 
 取得借款收到的现金(万元),66900,65140,44800, 
 发行债券收到的现金(万元),--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--, 
 筹资活动现金流入小计(万元),66900,65140,44800, 
 偿还债务支付的现金(万元),52900,59990,43900, 
 分配股利、利润或偿付利息所支付的现金(万元),3701,2799,2692, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--, 
 筹资活动现金流出小计(万元),56601,62789,46592, 
 筹资活动产生的现金流量净额(万元),10299,2351,-1792, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--, 
 现金及现金等价物净增加额(万元),-2475,-3264,-1353, 
 加:期初现金及现金等价物余额(万元),8135,11398,12751, 
 期末现金及现金等价物余额(万元),5659,8135,11398, 
 净利润(万元),-39273,2967,-22714, 
 少数股东损益(万元),--,--,--, 
 未确认的投资损失(万元),--,--,--, 
 资产减值准备(万元),8292,2719,27152, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),5058,6205,4331, 
 无形资产摊销(万元),200,226,227, 
 长期待摊费用摊销(万元),--,--,--, 
 待摊费用的减少(万元),--,--,--, 
 预提费用的增加(万元),--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),307,-386,121, 
 固定资产报废损失(万元),-151,--,--, 
 公允价值变动损失(万元),--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--, 
 预计负债(万元),--,--,--, 
 财务费用(万元),3707,2854,2707, 
 投资损失(万元),-2164,215,-432, 
 递延所得税资产减少(万元),6543,842,-3997, 
 递延所得税负债增加(万元),0,--,--, 
 存货的减少(万元),-12982,-27471,10325, 
 经营性应收项目的减少(万元),10941,-5060,-6696, 
 经营性应付项目的增加(万元),5205,10692,-10097, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--, 
 其他(万元),--,--,--, 
 经营活动产生现金流量净额(万元),-14317,-6195,927, 
 债务转为资本(万元),--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--, 
 融资租入固定资产(万元),--,--,--, 
 现金的期末余额(万元),5659,8135,11398, 
 现金的期初余额(万元),8135,11398,12751, 
 现金等价物的期末余额(万元),--,--,--, 
 现金等价物的期初余额(万元),--,--,--, 
 现金及现金等价物的净增加额(万元),-2475,-3264,-1353, 

