 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),177104,40868,25998,25079,41383,44386,39825,44254,36875,34643,22669,18180,20113,19359,17440, 
 客户存款和同业存放款项净增加额(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 向中央银行借款净增加额(万元,0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 收到再保险业务现金净额(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),0,0,0,0,0,0,--,--,--,0,--,0,0,0,0, 
 拆入资金净增加额(万元),0,0,0,0,0,0,--,--,--,0,--,0,0,0,0, 
 回购业务资金净增加额(万元),0,0,0,0,0,0,--,--,--,0,--,0,0,0,0, 
 收到的税费返还(万元),207,0,290,3,93,14,15,130,--,0,--,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),7857,5564,3650,3774,5383,5699,7069,3362,1671,813,705,256,575,16,62, 
 经营活动现金流入小计(万元),185168,46432,29939,28855,46859,50100,46908,47746,38546,35456,23374,18436,20689,19376,17502, 
 购买商品、接受劳务支付的现金(万元),51515,23225,11318,11398,16876,21871,24620,20897,19689,20279,13790,10598,10567,10920,13156, 
 客户贷款及垫款净增加额(万元),0,0,0,0,0,0,--,--,--,0,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 支付保单红利的现金(万元),0,0,0,0,--,0,--,--,--,0,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),12182,6253,5529,4869,7016,5933,4240,4266,3838,3002,2366,1888,1273,1371,633, 
 支付的各项税费(万元),6030,2330,4214,2233,3599,4666,4110,4825,4839,3777,3065,2084,2007,2156,1227, 
 支付的其他与经营活动有关的现金(万元),84545,15172,8941,10069,13583,10675,12508,6976,5083,3854,2725,2522,1954,1405,1003, 
 经营活动现金流出小计(万元),154273,46979,30003,28569,41074,43145,45477,36965,33449,30912,21946,17093,15801,15852,16020, 
 经营活动产生的现金流量净额(万元),30895,-547,-65,286,5785,6955,1432,10781,5097,4543,1428,1344,4888,3524,1482, 
 收回投资所收到的现金(万元),152783,396431,331747,499401,116218,0,7037,14379,3870,1915,--,0,0,0,0, 
 取得投资收益所收到的现金(万元),1972,7216,5287,0,0,0,--,--,--,0,--,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),294,2583,3612,470,110,15,5,49,152,0,7,83,0,1,849, 
 处置子公司及其他营业单位收到的现金净额(万元),0,0,0,16307,--,0,--,--,--,0,--,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),0,0,0,0,450,170,1339,2806,2998,0,7,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 投资活动现金流入小计(万元),155049,406230,340646,516178,116779,185,8381,17234,7021,1915,14,83,0,1,849, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),4027,549,7010,13383,7431,5850,11618,15605,10750,10294,6452,6925,5281,2006,1578, 
