 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),661573,552298,464482,397249,274918,60780,43560,35048,35397,34289,31991,23685, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),600,633,122,--,--,--,--,--,--,0,0,3, 
 收到的其他与经营活动有关的现金(万元),25326,23570,21644,10214,6060,7217,3684,2865,1641,4317,4198,5951, 
 经营活动现金流入小计(万元),687499,576501,486248,407463,280978,67998,47244,37913,37038,38607,36190,29640, 
 购买商品、接受劳务支付的现金(万元),531566,405594,370276,287865,198457,32063,20486,17261,12179,9051,12845,7733, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),73063,58851,52203,29802,20231,5155,3556,2670,2019,1589,1600,1555, 
 支付的各项税费(万元),33164,29183,29824,21610,15542,7668,5723,4627,6257,4922,3541,3143, 
 支付的其他与经营活动有关的现金(万元),71563,62699,53803,46445,66608,25247,21126,17342,16332,18869,15718,13960, 
 经营活动现金流出小计(万元),709355,556326,506107,385723,300837,70132,50890,41900,36788,34431,33704,26391, 
 经营活动产生的现金流量净额(万元),-21856,20174,-19859,21740,-19860,-2134,-3646,-3987,250,4175,2486,3249, 
 收回投资所收到的现金(万元),8449,43012,42200,20400,28000,36650,7000,--,--,0,0,0, 
 取得投资收益所收到的现金(万元),163,362,458,279,552,220,56,--,--,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),23,110,784,16,1556,5,0,--,--,0,500,662, 
 处置子公司及其他营业单位收到的现金净额(万元),9373,--,-185,--,--,--,--,--,--,354,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,106,--,--,--,--,--,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流入小计(万元),18008,43484,43257,20801,30108,36875,7057,0,0,354,500,662, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),26352,43503,43223,49248,28264,4480,5276,9648,7462,665,697,2895, 
 投资所支付的现金(万元),--,43976,66398,21111,37193,42650,9000,605,400,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),13286,21,-6337,-4371,-5037,3435,5589,--,--,0,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,7000,--,--,--,--,5,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流出小计(万元),39638,87500,103284,65987,67420,50565,19866,10253,7862,670,697,2895, 
 投资活动产生的现金流量净额(万元),-21629,-44016,-60027,-45187,-37312,-13690,-12809,-10253,-7862,-316,-197,-2233, 
 吸收投资收到的现金(万元),649,672,182618,3312,31000,200,--,--,67771,0,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),649,672,818,3312,--,--,--,--,--,0,0,0, 
 取得借款收到的现金(万元),424548,359986,296455,239536,163646,34766,22986,22186,13486,18186,19386,16286, 
 发行债券收到的现金(万元),--,29760,--,--,--,--,--,--,--,0,0,0, 
 收到其他与筹资活动有关的现金(万元),13114,--,--,20560,--,--,--,--,--,0,0,0, 
 筹资活动现金流入小计(万元),438311,390418,479073,263408,194646,34966,22986,22186,81257,18186,19386,16286, 
 偿还债务支付的现金(万元),380815,299905,263576,207036,91426,26091,19711,16186,15186,20186,17586,18686, 
 分配股利、利润或偿付利息所支付的现金(万元),25254,18588,17960,15473,8912,2625,2139,3349,347,636,964,872, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付其他与筹资活动有关的现金(万元),41938,3628,15252,23727,1599,998,--,--,3528,0,0,0, 
 筹资活动现金流出小计(万元),448008,322121,296788,246236,101937,29714,21850,19535,19061,20822,18550,19558, 
 筹资活动产生的现金流量净额(万元),-9697,68297,182285,17172,92709,5252,1136,2651,62196,-2636,836,-3272, 
 汇率变动对现金及现金等价物的影响(万元),1269,-1004,846,--,--,--,--,--,--,0,2,0, 
 现金及现金等价物净增加额(万元),-51913,43451,103246,-6275,35537,-10571,-15319,-11589,54585,1223,3127,-2256, 
 加:期初现金及现金等价物余额(万元),201400,157949,54703,60977,25440,36012,51331,62920,8335,7112,3985,6242, 
 期末现金及现金等价物余额(万元),149486,201400,157949,54703,60977,25440,36012,51331,62920,8335,7112,3985, 
 净利润(万元),-128318,33149,24270,16841,15386,3968,4756,4588,3758,4642,3361,2991, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 资产减值准备(万元),157691,2152,7459,1413,638,106,244,245,53,339,-31,20, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),19090,15090,13210,11200,4651,1829,648,613,679,708,685,618, 
 无形资产摊销(万元),2398,2370,1794,1466,359,145,108,67,63,53,73,74, 
