 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),1334989,1087335,606974,432364,57061,98766,71628,50381,37354,28215,20726,10798, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,6789,585,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),35739,69945,73254,3361,3079,3960,2193,27910,1020,739,624,102, 
 经营活动现金流入小计(万元),1370727,1164069,680812,435725,60140,102726,73821,78291,38374,28954,21350,10900, 
 购买商品、接受劳务支付的现金(万元),1260921,1143410,609398,410925,72687,86771,62370,44889,34505,24724,18033,9407, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,0,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,0,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,0,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,0,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,0,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),36896,30541,22155,6415,6816,5437,3250,1212,884,314,120,86, 
 支付的各项税费(万元),20214,22182,10493,3165,849,288,197,51,46,--,1,0, 
 支付的其他与经营活动有关的现金(万元),44419,65504,82118,8955,27023,4095,3601,2719,28199,2052,304,294, 
 经营活动现金流出小计(万元),1362450,1261638,724163,429460,107375,96592,69418,48871,63633,27091,18458,9787, 
 经营活动产生的现金流量净额(万元),8277,-97569,-43351,6265,-47235,6134,4403,29420,-25259,1864,2892,1113, 
 收回投资所收到的现金(万元),233439,1099981,791104,1207408,1652533,20355,0,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),7465,13491,14193,11946,10463,--,0,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9507,1877,1790,814,3038,669,301,37,140,15,66,69, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,0,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),59599,117709,71332,--,--,1200,0,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),310010,1233059,878419,1220168,1666035,22223,301,37,140,15,66,69, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),55062,27582,13598,29736,20704,16751,24130,22718,8500,5081,3081,2229, 
 投资所支付的现金(万元),213512,797328,824432,1532743,1867750,20395,0,3000,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,0,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,1320,147045,300,4462,--,248,2138,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),541,6242,167426,209,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),269115,832473,1152501,1562988,1892916,37146,24378,27857,8500,5081,3081,2229, 
 投资活动产生的现金流量净额(万元),40895,400586,-274068,-342820,-226882,-14923,-24077,-27819,-8360,-5066,-3015,-2160, 
 吸收投资收到的现金(万元),--,980,4750,--,496999,--,0,--,57397,3900,120,1380, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,0,--,--,--,--,--, 
 取得借款收到的现金(万元),370212,438687,349542,166324,33000,13500,7700,8800,5690,4490,990,--, 
 发行债券收到的现金(万元),10246,--,--,--,--,--,32400,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),129690,17674,251418,--,--,--,980,--,--,--,--,--, 
 筹资活动现金流入小计(万元),510147,457341,605710,166324,529999,13500,41080,8800,63087,8390,1110,1380, 
 偿还债务支付的现金(万元),465331,651010,179063,9000,15500,5000,7700,11507,9312,2888,5,15, 
 分配股利、利润或偿付利息所支付的现金(万元),37983,34367,20989,3933,3346,2949,1865,757,1083,198,73,89, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,300,--,--,--,0,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),55684,106773,107444,984,396,--,980,--,782,--,--,--, 
 筹资活动现金流出小计(万元),558998,792150,307496,13918,19241,7949,10545,12263,11178,3086,78,104, 
 筹资活动产生的现金流量净额(万元),-48850,-334809,298214,152407,510758,5551,30535,-3463,51909,5304,1032,1276, 
 汇率变动对现金及现金等价物的影响(万元),-1407,-1677,607,-7,--,--,--,--,--,--,--,--, 
