 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),382942,332348,278643,246278,199917,175285,157340,171979,112450,93689,77396, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),5991,5377,4765,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),10930,11098,6422,3689,685,739,744,1311,2325,--,174, 
 收到的其他与经营活动有关的现金(万元),7793,4976,6560,8572,5779,9388,5591,9675,6894,3588,7347, 
 经营活动现金流入小计(万元),407655,353800,296389,258540,206382,185412,163676,182964,121668,97276,84917, 
 购买商品、接受劳务支付的现金(万元),194001,181560,126484,124623,130674,107044,87780,99817,73475,66300,41888, 
 客户贷款及垫款净增加额(万元),11911,-1930,10937,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),59652,48274,40399,34703,25695,19721,16691,12529,12351,7477,6554, 
 支付的各项税费(万元),34331,40247,28082,20473,12340,13007,13233,16100,9518,6670,7106, 
 支付的其他与经营活动有关的现金(万元),17995,18509,21503,55962,21119,11242,14794,14445,7965,7597,22196, 
 经营活动现金流出小计(万元),317890,286660,227405,235761,189828,151014,132497,142891,103309,88045,77744, 
