 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),30834,25319,23683,20284,24873,23904,22206,22983,19174,14424, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1840,467,1008,635,505,796,965,381,175,278, 
 收到的其他与经营活动有关的现金(万元),495,795,2771,235,643,701,573,431,311,476, 
 经营活动现金流入小计(万元),33168,26581,27463,21154,26021,25400,23743,23795,19661,15177, 
 购买商品、接受劳务支付的现金(万元),16021,11846,9569,10844,13003,9899,8076,8261,6283,6664, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9008,8159,7373,7199,7797,7528,7161,6096,5242,3400, 
 支付的各项税费(万元),1597,354,457,652,1392,1960,2155,2600,1185,762, 
 支付的其他与经营活动有关的现金(万元),3139,2989,3207,3210,3348,3493,3415,3118,2315,1637, 
 经营活动现金流出小计(万元),29765,23348,20606,21904,25540,22879,20807,20075,15025,12462, 
 经营活动产生的现金流量净额(万元),3404,3233,6857,-750,482,2521,2936,3720,4636,2715, 
 收回投资所收到的现金(万元),--,1200,1000,--,--,--,--,--,15,18, 
 取得投资收益所收到的现金(万元),12,28,30,19,26,15,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),80,18,1,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),92,1246,1031,19,26,15,0,0,15,18, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3436,2365,2771,3031,3063,3590,8889,8846,5644,2026, 
 投资所支付的现金(万元),--,--,1200,1000,--,--,--,--,--,300, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),3436,2365,3971,4031,3063,3590,8889,8846,5644,2326, 
 投资活动产生的现金流量净额(万元),-3344,-1119,-2940,-4012,-3037,-3575,-8889,-8846,-5629,-2308, 
 吸收投资收到的现金(万元),--,--,--,--,21200,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),18800,8876,18656,23900,14904,37122,18156,20444,14550,7077, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),22,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),18822,8876,18656,23900,36104,37122,18156,20444,14550,7077, 
 偿还债务支付的现金(万元),14982,9582,23550,16348,30532,33990,8080,15321,6249,6218, 
