 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),33091,29058,38771,37949,33628,26446, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),337,155,66,91,18,77, 
 收到的其他与经营活动有关的现金(万元),2304,3341,1317,1090,2054,1215, 
 经营活动现金流入小计(万元),35732,32553,40155,39130,35700,27738, 
 购买商品、接受劳务支付的现金(万元),19059,17379,24998,21476,24455,16487, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5881,4183,4063,3644,3112,2431, 
 支付的各项税费(万元),3643,4550,4857,4242,1746,723, 
 支付的其他与经营活动有关的现金(万元),5324,4831,4239,4048,3986,1896, 
 经营活动现金流出小计(万元),33906,30943,38157,33409,33300,21538, 
 经营活动产生的现金流量净额(万元),1826,1610,1998,5721,2400,6200, 
 收回投资所收到的现金(万元),194660,--,--,1930,--,--, 
 取得投资收益所收到的现金(万元),653,--,--,3470,11,6, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,556,439,0,15,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,1145,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),195316,556,439,6545,26,7, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3963,1573,2884,310,1067,1200, 
 投资所支付的现金(万元),215496,--,--,--,99,2638, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),2535,--,--,355,1140,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),221994,1573,2884,665,2307,3839, 
 投资活动产生的现金流量净额(万元),-26678,-1017,-2445,5879,-2281,-3832, 
 吸收投资收到的现金(万元),--,30179,6000,402,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,132,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,0,--,--, 
 筹资活动现金流入小计(万元),0,30179,6000,403,0,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),2381,264,1020,7197,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),270,264,36,80,--,--, 
 支付其他与筹资活动有关的现金(万元),28,995,--,--,--,--, 
 筹资活动现金流出小计(万元),2409,1259,1020,7197,0,0, 
 筹资活动产生的现金流量净额(万元),-2409,28920,4980,-6794,0,0, 
 汇率变动对现金及现金等价物的影响(万元),140,-116,72,31,-0,3, 
 现金及现金等价物净增加额(万元),-27121,29398,4604,4837,119,2372, 
 加:期初现金及现金等价物余额(万元),46219,16821,12217,7380,7261,4889, 
 期末现金及现金等价物余额(万元),19098,46219,16821,12217,7380,7261, 
 净利润(万元),7151,7131,7019,7618,3243,--, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),216,189,196,68,267,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),534,376,344,351,328,--, 
 无形资产摊销(万元),78,53,26,17,6,--, 
 长期待摊费用摊销(万元),36,4,46,69,45,--, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),0,8,-420,1,1,--, 
 固定资产报废损失(万元),1,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),-141,-27,48,83,-0,--, 
 投资损失(万元),-650,76,-126,-3293,636,--, 
 递延所得税资产减少(万元),70,-58,121,-1,-202,--, 
 递延所得税负债增加(万元),-18,--,--,--,--,--, 
 存货的减少(万元),92,3435,-269,1208,-3025,--, 
 经营性应收项目的减少(万元),-1162,-2506,-4468,-132,301,--, 
 经营性应付项目的增加(万元),-4380,-7071,-519,-268,802,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),1826,1610,1998,5721,2400,--, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--, 
 现金的期末余额(万元),19098,46219,16821,12217,7380,7261, 
 现金的期初余额(万元),46219,16821,12217,7380,7261,4889, 
 现金等价物的期末余额(万元),--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-27121,29398,4604,4837,119,2372, 

