 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),102159,185504,128071,101079,57605,32912,24119,27529,24004,10341,14668,8786,4100, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 收到的税费返还(万元),3451,1557,287,1,30,6,--,--,14,368,0,0,0, 
 收到的其他与经营活动有关的现金(万元),55959,28869,8446,20117,18102,3116,1662,1060,1027,344,638,178,85, 
 经营活动现金流入小计(万元),161569,215930,136805,121198,75737,36034,25781,28589,25045,11053,15305,8964,4185, 
 购买商品、接受劳务支付的现金(万元),57544,163070,122110,96280,43803,13565,15226,16953,9469,1495,2836,2499,1036, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),15629,12878,10919,11734,9695,9918,9518,7988,4537,4837,3014,1631,933, 
 支付的各项税费(万元),5188,16221,8020,3978,2687,971,2596,2373,1597,703,1800,134,189, 
 支付的其他与经营活动有关的现金(万元),85207,36299,16088,15482,21922,2760,2345,2318,985,661,777,514,379, 
 经营活动现金流出小计(万元),163568,228467,157136,127474,78108,27213,29685,29632,16588,7696,8426,4778,2537, 
 经营活动产生的现金流量净额(万元),-2000,-12537,-20331,-6277,-2371,8821,-3904,-1042,8456,3357,6879,4187,1648, 
