 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),58364,51397,50456,42662,55539,53975,45243,38964, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),868,1139,1714,1616,855,1189,1191,486, 
 收到的其他与经营活动有关的现金(万元),6836,5730,1782,265,376,444,604,317, 
 经营活动现金流入小计(万元),66068,58267,53952,44543,56770,55608,47038,39767, 
 购买商品、接受劳务支付的现金(万元),38284,60065,50237,44587,35833,36473,26536,26394, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6088,5744,7150,7109,7503,7937,6634,4195, 
 支付的各项税费(万元),3704,3361,4410,4441,4439,4179,3728,2602, 
 支付的其他与经营活动有关的现金(万元),10096,9430,7358,5111,3624,4924,5824,4137, 
 经营活动现金流出小计(万元),58171,78599,69155,61248,51399,53514,42723,37329, 
 经营活动产生的现金流量净额(万元),7897,-20332,-15203,-16705,5371,2094,4315,2439, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),2,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),29,12,1,2,0,2,94,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),31,12,1,2,0,2,94,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2253,754,484,135,74,413,628,1077, 
 投资所支付的现金(万元),--,750,1750,--,--,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),16687,5146,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),18939,6649,2234,135,74,413,628,1077, 
 投资活动产生的现金流量净额(万元),-18908,-6637,-2233,-133,-73,-412,-534,-1076, 
 吸收投资收到的现金(万元),25727,--,6037,29022,0,0,0,1800, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),29370,42375,11521,11967,14907,14680,7366,6800, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,60,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),55097,42435,17558,40989,14907,14680,7366,8600, 
 偿还债务支付的现金(万元),38625,16610,10170,17902,12002,9980,6366,5300, 
 分配股利、利润或偿付利息所支付的现金(万元),1195,920,1149,1267,785,533,1817,320, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2434,2534,382,741,0,0,0,166, 
 筹资活动现金流出小计(万元),42254,20064,11702,19910,12787,10513,8183,5786, 
 筹资活动产生的现金流量净额(万元),12843,22371,5857,21079,2120,4167,-817,2814, 
 汇率变动对现金及现金等价物的影响(万元),2,-13,7,20,6,-35,14,18, 
 现金及现金等价物净增加额(万元),1834,-4611,-11572,4262,7423,5814,2979,4196, 
 加:期初现金及现金等价物余额(万元),18873,23484,35055,30794,23370,17556,14578,10382, 
 期末现金及现金等价物余额(万元),20706,18873,23484,35055,30794,23370,17556,14578, 
 净利润(万元),1099,4754,3191,4545,5671,5261,4771,4214, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),7984,2475,3194,1495,1131,681,496,47, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),167,179,224,256,267,252,210,141, 
 无形资产摊销(万元),115,62,92,181,180,166,135,91, 
 长期待摊费用摊销(万元),813,360,68,104,101,111,86,68, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),12,-4,11,3,0,2,--,1, 
 固定资产报废损失(万元),33,--,--,--,--,--,--,5, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),1491,885,468,521,779,579,442,338, 
 投资损失(万元),-9,37,17,--,--,--,--,--, 
 递延所得税资产减少(万元),-990,-425,-789,-426,-260,-167,-101,-142, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--, 
 存货的减少(万元),-2489,1854,-3131,-2192,2074,-1261,-409,3716, 
 经营性应收项目的减少(万元),-13736,-37644,-16705,-11419,-7548,-7748,-5703,972, 
 经营性应付项目的增加(万元),13357,7103,-2077,-9774,2974,4219,4388,-7013, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),49,32,236,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),7897,-20332,-15203,-16705,5371,2094,4315,2439, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),20706,18873,23484,35055,30794,23370,17556,14578, 
 现金的期初余额(万元),18873,23484,35055,30794,23370,17556,14578,10382, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),1834,-4611,-11572,4262,7423,5814,2979,4196, 

