 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),43910,34317,27096,21413, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),2539,2072,1372,1468, 
 收到的其他与经营活动有关的现金(万元),340,154,136,306, 
 经营活动现金流入小计(万元),46789,36542,28603,23187, 
 购买商品、接受劳务支付的现金(万元),24607,22377,15145,12126, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7626,6716,5231,3842, 
 支付的各项税费(万元),5115,2618,2466,2118, 
 支付的其他与经营活动有关的现金(万元),1989,1762,1417,1628, 
 经营活动现金流出小计(万元),39336,33474,24259,19713, 
 经营活动产生的现金流量净额(万元),7453,3069,4344,3474, 
 收回投资所收到的现金(万元),--,--,--,--, 
 取得投资收益所收到的现金(万元),36,16,19,73, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,15,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,-57,--,--, 
 收到的其他与投资活动有关的现金(万元),3277,5528,4386,23426, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),3313,5503,4404,23499, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1354,2088,3713,4967, 
 投资所支付的现金(万元),--,--,765,--, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,5935, 
 支付的其他与投资活动有关的现金(万元),10238,1620,6117,14415, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),11591,3708,10595,25317, 
 投资活动产生的现金流量净额(万元),-8279,1795,-6190,-1818, 
 吸收投资收到的现金(万元),--,--,--,4000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--, 
 取得借款收到的现金(万元),3054,2000,2300,--, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,462, 
 筹资活动现金流入小计(万元),3054,2000,2300,4462, 
 偿还债务支付的现金(万元),2000,2000,300,--, 
 分配股利、利润或偿付利息所支付的现金(万元),2359,121,1169,4884, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),335,101,539,--, 
 筹资活动现金流出小计(万元),4694,2222,2009,4884, 
 筹资活动产生的现金流量净额(万元),-1640,-222,291,-422, 
 汇率变动对现金及现金等价物的影响(万元),788,-277,383,205, 
 现金及现金等价物净增加额(万元),-1677,4365,-1172,1438, 
 加:期初现金及现金等价物余额(万元),5494,1129,2301,863, 
 期末现金及现金等价物余额(万元),3817,5494,1129,2301, 
 净利润(万元),10609,--,--,--, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),135,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),662,--,--,--, 
 无形资产摊销(万元),28,--,--,--, 
 长期待摊费用摊销(万元),347,--,--,--, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--, 
 固定资产报废损失(万元),1,--,--,--, 
 公允价值变动损失(万元),20,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),-473,--,--,--, 
 投资损失(万元),-36,--,--,--, 
 递延所得税资产减少(万元),-228,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),-1249,--,--,--, 
 经营性应收项目的减少(万元),-5220,--,--,--, 
 经营性应付项目的增加(万元),2608,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),248,--,--,--, 
 经营活动产生现金流量净额(万元),7453,--,--,--, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),3817,5494,1129,2301, 
 现金的期初余额(万元),5494,1129,2301,863, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),-1677,4365,-1172,1438, 

