 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),10514252,9554558,8480960,6585135,6055506,5536069,5101393,4770320,3687813,2715934,2103130,1214417,836581,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 收到的税费返还(万元),161310,173259,55996,19843,23898,16394,19187,20312,10586,5785,4359,4220,3771,--, 
 收到的其他与经营活动有关的现金(万元),1715561,1717385,868626,788486,532802,482867,181356,154672,103867,96165,58275,87306,8120,--, 
 经营活动现金流入小计(万元),12391124,11445202,9405582,7393464,6612206,6035329,5301937,4945303,3802266,2817885,2165764,1305943,848472,--, 
 购买商品、接受劳务支付的现金(万元),8545745,8681454,7831010,6026351,5057847,4355005,4520567,4186446,3199008,2367737,1758225,1063725,660664,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,--, 
 支付给职工以及为职工支付的现金(万元),671156,644991,565803,519010,460179,417086,376646,290673,231105,181528,163783,128397,91159,--, 
 支付的各项税费(万元),837206,790545,493622,468682,337759,305231,249461,212890,175240,129152,90199,43369,30623,--, 
 支付的其他与经营活动有关的现金(万元),2209237,1410600,857995,854374,641790,488251,181813,141298,135022,89454,66986,49984,40080,--, 
