 报告日期,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),274434,226913, 
 客户存款和同业存放款项净增加额(万元),--,--, 
 向中央银行借款净增加额(万元,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--, 
 收到原保险合同保费取得的现金(万元),--,--, 
 收到再保险业务现金净额(万元),--,--, 
 保户储金及投资款净增加额(万元),--,--, 
 处置交易性金融资产净增加额(万元),--,--, 
 收取利息、手续费及佣金的现金(万元),--,--, 
 拆入资金净增加额(万元),--,--, 
 回购业务资金净增加额(万元),--,--, 
 收到的税费返还(万元),--,--, 
 收到的其他与经营活动有关的现金(万元),7653,11383, 
 经营活动现金流入小计(万元),282087,238296, 
 购买商品、接受劳务支付的现金(万元),234735,185457, 
 客户贷款及垫款净增加额(万元),--,--, 
 存放中央银行和同业款项净增加额(万元),--,--, 
 支付原保险合同赔付款项的现金(万元),--,--, 
 支付利息、手续费及佣金的现金(万元),--,--, 
 支付保单红利的现金(万元),--,--, 
 支付给职工以及为职工支付的现金(万元),18304,15428, 
 支付的各项税费(万元),8182,7823, 
 支付的其他与经营活动有关的现金(万元),14010,21594, 
 经营活动现金流出小计(万元),275231,230301, 
 经营活动产生的现金流量净额(万元),6857,7995, 
 收回投资所收到的现金(万元),1042,2019, 
 取得投资收益所收到的现金(万元),31061,22168, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),28,51, 
 处置子公司及其他营业单位收到的现金净额(万元),50,--, 
 收到的其他与投资活动有关的现金(万元),--,2577, 
 减少质押和定期存款所收到的现金(万元),--,--, 
 投资活动现金流入小计(万元),32181,26815, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3383,5750, 
 投资所支付的现金(万元),405,2046, 
 质押贷款净增加额(万元),--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--, 
 支付的其他与投资活动有关的现金(万元),--,--, 
 增加质押和定期存款所支付的现金(万元),--,--, 
 投资活动现金流出小计(万元),3788,7796, 
 投资活动产生的现金流量净额(万元),28393,19020, 
 吸收投资收到的现金(万元),3010,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),3010,--, 
 取得借款收到的现金(万元),84000,73500, 
 发行债券收到的现金(万元),--,--, 
 收到其他与筹资活动有关的现金(万元),--,--, 
 筹资活动现金流入小计(万元),87010,73500, 
 偿还债务支付的现金(万元),88858,70527, 
 分配股利、利润或偿付利息所支付的现金(万元),22573,14030, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--, 
 支付其他与筹资活动有关的现金(万元),--,63, 
 筹资活动现金流出小计(万元),111432,84620, 
 筹资活动产生的现金流量净额(万元),-24422,-11120, 
 汇率变动对现金及现金等价物的影响(万元),-147,-2, 
 现金及现金等价物净增加额(万元),10681,15893, 
 加:期初现金及现金等价物余额(万元),36424,20531, 
 期末现金及现金等价物余额(万元),47105,36424, 
 净利润(万元),43779,55985, 
 少数股东损益(万元),--,--, 
 未确认的投资损失(万元),--,--, 
 资产减值准备(万元),47,876, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),2454,2283, 
 无形资产摊销(万元),1482,1482, 
 长期待摊费用摊销(万元),72,93, 
 待摊费用的减少(万元),--,--, 
 预提费用的增加(万元),--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),20,-12, 
 固定资产报废损失(万元),--,--, 
 公允价值变动损失(万元),--,--, 
 递延收益增加(减：减少)(万元),--,--, 
 预计负债(万元),--,--, 
 财务费用(万元),2757,2126, 
 投资损失(万元),-44206,-58668, 
 递延所得税资产减少(万元),75,--, 
 递延所得税负债增加(万元),199,--, 
 存货的减少(万元),-2092,-1799, 
 经营性应收项目的减少(万元),3398,-3071, 
 经营性应付项目的增加(万元),-1129,8700, 
 已完工尚未结算款的减少(减:增加)(万元),--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--, 
 其他(万元),--,--, 
 经营活动产生现金流量净额(万元),6857,7995, 
 债务转为资本(万元),--,--, 
 一年内到期的可转换公司债券(万元),--,--, 
 融资租入固定资产(万元),--,--, 
 现金的期末余额(万元),47105,36424, 
 现金的期初余额(万元),36424,20531, 
 现金等价物的期末余额(万元),--,--, 
 现金等价物的期初余额(万元),--,--, 
 现金及现金等价物的净增加额(万元),10681,15893, 

