 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),134528,173696,187249,148406,174232,186270,168093,185454,186198,102422,120639,114960,81190, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1145,2157,699,1278,968,718,1349,616,662,271,305,274,466, 
 收到的其他与经营活动有关的现金(万元),15973,15968,4489,20419,20034,15741,6485,16398,18553,43969,39347,11640,3690, 
 经营活动现金流入小计(万元),151646,191822,192436,170103,195234,202728,175926,202468,205412,146662,160291,126874,85346, 
 购买商品、接受劳务支付的现金(万元),90146,122020,92854,152333,107714,108020,117711,162609,166507,81930,104736,76531,46256, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),20263,18989,19367,18903,18274,17211,14479,13393,12644,9476,9565,7776,7436, 
 支付的各项税费(万元),6954,10420,14364,13018,9268,14657,11203,10554,11740,9431,9126,3402,3500, 
 支付的其他与经营活动有关的现金(万元),21170,22531,29955,36351,33262,33885,19594,19042,22905,31752,36471,27461,10192, 
 经营活动现金流出小计(万元),138533,173960,156539,220605,168518,173772,162988,205598,213796,132588,159898,115170,67385, 
