 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 客户存款和同业存放款项净增加额(万元),11300400,11719300,16612300,71370800,35803900,47018700,73559200,42168800,41268222,32260907,11884661,16753272,10831283,7203160,7223102,7302859, 
 向中央银行借款净增加额(万元,2350000,4700000,13030000,3770000,3000000,--,--,--,32598,4060,--,--,31259,0,--,98000, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收取利息、手续费及佣金的现金(万元),19566700,16491500,15235900,18431400,19897600,17802200,15142900,10080800,6757157,4688481,5044979,3551817,2157982,1484304,1136365,851197, 
 拆入资金净增加额(万元),3367700,12024200,14579300,--,1959800,--,5607300,7845600,6804933,--,2722535,2038879,--,0,261914,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,408227,1359728,--,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收到的其他与经营活动有关的现金(万元),5188800,3414900,2604100,862300,13039600,295000,127300,1169800,307659,41701,99548,55695,48771,12619,24924,9999, 
 经营活动现金流入小计(万元),46643400,49181300,75911200,141766100,114880500,65115900,94436700,61265000,55170569,38816906,19751723,22399663,13478008,14110780,8648307,8271905, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 客户贷款及垫款净增加额(万元),53214000,37064300,32895000,21218100,24780700,13228200,24722500,12880800,15261509,20207289,10060377,7650396,8302737,4033658,4603835,4677854, 
 存放中央银行和同业款项净增加额(万元),--,6043700,2490700,--,4555200,189500,14298300,7802900,6401323,--,5219476,4036977,638894,578534,727353,618076, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 支付利息、手续费及佣金的现金(万元),14516400,13252500,12107500,12017900,10662000,9418700,7660700,4947200,2952620,2097279,2193466,1708776,1156037,699070,481448,387376, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 支付给职工以及为职工支付的现金(万元),2492500,2366600,1993000,1860200,1658800,1552600,1119500,902900,594671,448052,470244,241568,174116,113225,105116,73901, 
 支付的各项税费(万元),1843500,2226600,2742900,2976400,2707400,2212700,1517200,1098600,737664,700990,434482,287356,231189,198663,136707,83458, 
 支付的其他与经营活动有关的现金(万元),6924700,2831600,1811100,15791200,645200,1175100,1443700,766600,1738201,612323,383359,478044,175792,103128,144109,99861, 
 经营活动现金流出小计(万元),82253300,65445500,55609500,59896800,46674500,44204000,82766600,62053500,43405393,31632090,19418869,19873508,12386882,5815652,7289000,7350190, 
 经营活动产生的现金流量净额(万元),-35609900,-16264200,20301700,81869300,68206000,20911900,11670100,-788500,11765176,7184816,332853,2526155,1091126,8295128,1359308,921715, 
 收回投资所收到的现金(万元),548917900,606328200,414169500,228094400,128472500,87542500,78494000,63986300,59228307,60339256,77833840,68106294,32920988,17939427,10497077,6810487, 
 取得投资收益所收到的现金(万元),12078400,12398000,11568800,10643400,4603900,3218600,1214700,1084300,783086,612942,552354,464520,478372,235472,92247,94590, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),22800,528000,28300,19500,11500,9900,36800,3200,--,--,--,--,10159,5321,5851,3281, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 收到的其他与投资活动有关的现金(万元),2000,656600,45900,--,45700,228700,300,--,10780,5421,6311,10934,--,0,244871,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 投资活动现金流入小计(万元),561021100,619910800,425812500,238835800,133133600,90999700,79745800,65073800,60022173,60957619,78392505,68581748,33409519,18180220,10840046,6908357, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),639500,640000,675800,590200,526300,414400,341500,228900,231948,151805,158449,121288,106234,41551,74466,45798, 
 投资所支付的现金(万元),518050600,592310500,461749800,345927800,189230800,123014700,92215600,64959800,64505600,64432105,80101336,68606032,35063537,23692151,12710104,6964920, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,51700,26440,--,--,--,--,0,--,0, 
 支付的其他与投资活动有关的现金(万元),92000,134200,--,168500,--,106000,500,--,--,--,--,--,--,0,--,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 投资活动现金流出小计(万元),518782100,593084700,462425600,346686500,189757100,123535100,92557600,65240400,64763988,64583910,80259785,68727320,35290427,23733702,12784570,7010718, 
 投资活动产生的现金流量净额(万元),42239000,26826100,-36613100,-107850700,-56623500,-32535400,-12811800,-166600,-4741815,-3626291,-1867280,-145573,-1880908,-5553481,-1944524,-102360, 
 吸收投资收到的现金(万元),22000,2711800,10300,1317000,1461100,5000,2367200,32600,1786411,--,--,1572196,--,0,269730,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 发行债券收到的现金(万元),142554900,145968700,104912600,58645400,17897900,300000,--,4000000,300000,1000000,1500000,1900000,2500000,1000000,300000,300000, 
 收到其他与筹资活动有关的现金(万元),364100,160900,11700,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 筹资活动现金流入小计(万元),142941000,148841400,104934600,59962400,19359000,305000,2367200,4032600,2086411,1000000,1500000,3472196,2500000,1000000,569730,300000, 
 偿还债务支付的现金(万元),137068900,151290000,73452100,36330000,6591900,408000,1200000,2392000,700000,600000,1000000,--,--,0,--,0, 
 分配股利、利润或偿付利息所支付的现金(万元),4372800,4243000,3255700,2220300,1314700,1041300,771800,536100,519048,489211,378003,273738,53137,80255,35043,18583, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 支付其他与筹资活动有关的现金(万元),455700,15100,--,33000,20200,13900,--,8100,18139,3387,3555,4560,--,0,--,0, 
 筹资活动现金流出小计(万元),141897400,155548100,76707800,38583300,7926800,1463200,1971800,2936200,1237186,1092597,1381558,278298,53137,80255,35043,18583, 
 筹资活动产生的现金流量净额(万元),1043600,-6706700,28226800,21379100,11432200,-1158200,395400,1096400,849225,-92597,118442,3193898,2446863,919745,534687,281417, 
 汇率变动对现金及现金等价物的影响(万元),212900,-129400,155700,124700,-14000,-19500,-4900,-15900,-15812,5272,-35548,-21855,-14091,-12337,451,-1205, 
 现金及现金等价物净增加额(万元),7885600,3725800,12071100,-4477600,23000700,-12801200,-751200,125400,7856774,3471199,-1451533,5552625,1642990,3649054,-50079,1099567, 
 加:期初现金及现金等价物余额(万元),47032100,43306300,31235200,35712800,12712100,25513300,26264500,26139100,18282387,14811188,16262721,10710096,9067105,5418051,5468130,4368563, 
 期末现金及现金等价物余额(万元),54917700,47032100,43306300,31235200,35712800,12712100,25513300,26264500,26139161,18282387,14811188,16262721,10710096,9067105,5418051,5468130, 
 净利润(万元),6124500,5773500,5432700,5065000,4753000,4151100,3492700,2559700,1852100,1328194,1138503,858577,379826,246497,176559,143396, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 资产减值准备(万元),4640400,3550700,5127600,4526000,2590400,1818800,1238200,291600,234200,51846,341642,167884,240242,158094,118203,110723, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),178700,155100,142200,126000,102800,83500,75900,64200,53700,44694,38115,29776,35243,30838,27637,21753, 
 无形资产摊销(万元),11600,10200,8900,7500,11100,11900,8200,8500,8300,7366,7020,6557,5612,5129,1057,297, 
 长期待摊费用摊销(万元),67100,70400,71900,62200,54500,45000,38900,31200,24000,17298,11372,9028,379,218,-1080,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,-561,--,-1562, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-2000,-7000,-2700,-900,-8300,2800,200,-1400,-4600,-2112,-445,-1971,-1883,-956,-300,-145, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 公允价值变动损失(万元),-291900,62200,375600,-137800,-163100,114200,-33900,28300,-17500,1326,12437,4965,8958,-6618,-1254,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 财务费用(万元),-9607400,-10017700,2256900,-9534600,-4467800,-3159400,-1160500,-815400,262300,266523,252563,197651,67625,31642,11860,0, 
 投资损失(万元),-2648200,-451400,-1183600,-348200,9600,-2200,34600,-32400,-807800,-703378,-561017,-529289,-400279,-271749,-94514,-100014, 
 递延所得税资产减少(万元),-673500,-294300,-659300,-504700,-370600,-384300,-269800,-18300,-11300,26054,-101199,4512,-17203,-7527,-3251,694, 
 递延所得税负债增加(万元),54300,10800,-78000,62400,24400,-6700,6700,200,--,-588,-1350,1725,-8965,0,--,0, 
 存货的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 经营性应收项目的减少(万元),-51520600,-43755000,-20351500,25560100,10121700,-20972700,-71738000,-54626300,-38691500,-23820262,-15925811,-17294374,-10665160,-4156603,-5655393,-5768086, 
 经营性应付项目的增加(万元),18185800,28745600,41389000,57077000,55615800,39248600,79995800,51733100,48847500,29973127,15085476,19049259,11432087,12254386,6780234,6513453, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 其他(万元),--,--,--,--,--,--,--,--,15800,-5272,35548,21855,13714,12337,-451,1205, 
 经营活动产生现金流量净额(万元),-35609900,-16264200,20301700,81869300,68206000,20911900,11670100,-788500,11765176,7184816,332853,2526155,1091126,8295128,1359308,921715, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0, 
 现金的期末余额(万元),54917700,47032100,43306300,31235200,35712800,12712100,25513300,26264500,26139200,18282383,14811184,16123918,10042027,118623,95730,79702, 
 现金的期初余额(万元),47032100,43306300,31235200,35712800,12712100,25513300,26264500,26139100,18282400,14811184,16123918,10042027,7859031,95730,79702,65327, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,4,4,138803,668069,8948482,5322320,5388428, 
