 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),153116,136844,129548,112747,100160,93962,91184,70282,62264,52772,42111, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),3749,4977,6174,1528,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),103345,50660,46392,34293,4351,1095,1057,2152,946,6074,1474, 
 经营活动现金流入小计(万元),260210,192481,182114,148568,104511,95057,92241,72434,63210,58846,43585, 
 购买商品、接受劳务支付的现金(万元),42512,39529,37980,22117,17937,22109,21597,18665,13405,11418,9142, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),24177,22783,20409,17692,16009,14597,13287,11738,8195,6623,6044, 
 支付的各项税费(万元),17037,21096,17709,12497,9090,9239,7563,6163,5702,4111,5031, 
 支付的其他与经营活动有关的现金(万元),60641,49619,45106,39466,9919,7484,7372,6078,5758,4723,3090, 
 经营活动现金流出小计(万元),144367,133028,121204,91772,52956,53429,49819,42645,33060,26875,23307, 
 经营活动产生的现金流量净额(万元),115843,59453,60911,56796,51556,41628,42422,29789,30150,31971,20278, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,136,89,80, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),116,1301,--,5,15,45,13,107,310,0,53, 
