 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),87231,100285,78307,56199,60343,78559,76182,81035,58532, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,1711, 
 收到的其他与经营活动有关的现金(万元),2937,4629,1291,2553,1178,2908,6933,3782,1341, 
 经营活动现金流入小计(万元),90168,104914,79597,58751,61521,81466,83115,84817,61583, 
 购买商品、接受劳务支付的现金(万元),6077,9385,4333,5821,4904,12859,11092,36840,24508, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),11304,11318,10400,10352,9533,9761,9506,8594,5000, 
 支付的各项税费(万元),11745,12928,9306,9522,13479,6935,9916,6417,10099, 
 支付的其他与经营活动有关的现金(万元),3093,2857,10160,2564,7291,6605,4287,4087,6882, 
 经营活动现金流出小计(万元),32219,36488,34200,28260,35208,36160,34801,55939,46489, 
 经营活动产生的现金流量净额(万元),57949,68425,45398,30491,26313,45307,48314,28878,15095, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,10, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),314,143,580,305,--,45,45,119,59, 
 处置子公司及其他营业单位收到的现金净额(万元),--,-0,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),93662,44007,14,2602,7829,25358,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),93975,44149,594,2907,7829,25402,45,119,69, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),7785,5573,40089,99259,169640,64421,38482,14599,15229, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
