 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),863627,853852,610459,505352,465775, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4945,12687,28538,4400,2502, 
 经营活动现金流入小计(万元),868572,866539,638997,509753,468276, 
 购买商品、接受劳务支付的现金(万元),636912,543212,408713,372675,384581, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),88991,81587,54980,46862,36118, 
 支付的各项税费(万元),46466,41755,27076,21537,17613, 
 支付的其他与经营活动有关的现金(万元),39669,26198,17506,13352,7326, 
 经营活动现金流出小计(万元),812037,692752,508275,454425,445639, 
 经营活动产生的现金流量净额(万元),56535,173787,130722,55328,22637, 
 收回投资所收到的现金(万元),67087,--,1950,--,--, 
 取得投资收益所收到的现金(万元),9044,7927,5568,4416,3740, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1653,138,725,2,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,1422,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,20500,--,--,--, 
 投资活动现金流入小计(万元),77784,67288,34753,16509,42876, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),135934,61890,85255,34232,34826, 
 投资所支付的现金(万元),92301,6365,24408,1232,--, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),1804,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),754,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,20500,--, 
 投资活动现金流出小计(万元),230793,105385,144857,67538,74546, 
 投资活动产生的现金流量净额(万元),-153010,-38096,-110104,-51029,-31670, 
 吸收投资收到的现金(万元),190531,2664,9325,30547,99241, 
 其中：子公司吸收少数股东投资收到的现金(万元),1097,2664,9325,5418,10000, 
 取得借款收到的现金(万元),151710,116436,349871,472809,316182, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),342241,119100,359196,503356,415423, 
 偿还债务支付的现金(万元),114736,193879,427495,486163,227628, 
 分配股利、利润或偿付利息所支付的现金(万元),43483,23279,17483,18832,65565, 
 其中：子公司支付给少数股东的股利、利润(万元),116,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),5669,--,--,1678,2619, 
 筹资活动现金流出小计(万元),163888,217158,444978,506674,295812, 
 筹资活动产生的现金流量净额(万元),178353,-98058,-85782,-3318,119611, 
 汇率变动对现金及现金等价物的影响(万元),968,-439,3209,2636,-120, 
 现金及现金等价物净增加额(万元),82846,37194,-61955,3617,110458, 
 加:期初现金及现金等价物余额(万元),179951,142758,204712,201095,90638, 
 期末现金及现金等价物余额(万元),262798,179951,142758,204712,201095, 
 净利润(万元),148803,123458,69370,55048,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),8691,11733,1327,3505,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),20112,17326,13253,11603,--, 
 无形资产摊销(万元),1643,3006,2707,845,--, 
 长期待摊费用摊销(万元),--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),274,273,208,219,--, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),-26,-24,10,59,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),1739,4799,7755,11476,--, 
 投资损失(万元),-15106,-16109,-11027,-8286,--, 
 递延所得税资产减少(万元),-2383,537,-4423,591,--, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),-28856,-10227,1862,839,--, 
 经营性应收项目的减少(万元),-119752,-38883,-1169,-38219,--, 
 经营性应付项目的增加(万元),41396,77899,50848,20644,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,--,--,--, 
 经营活动产生现金流量净额(万元),56535,173787,130722,55328,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),262798,179951,142258,204712,201095, 
 现金的期初余额(万元),179951,142258,204712,201095,90638, 
 现金等价物的期末余额(万元),--,--,500,--,--, 
 现金等价物的期初余额(万元),--,500,--,--,--, 
 现金及现金等价物的净增加额(万元),82846,37194,-61955,3617,110458, 

