 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),176102,144802,98896,71265,67065,63065,46408, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),5195,4913,3203,2906,2985,4504,3713, 
 收到的其他与经营活动有关的现金(万元),2516,1151,801,331,758,807,425, 
 经营活动现金流入小计(万元),183813,150866,102901,74502,70808,68375,50545, 
 购买商品、接受劳务支付的现金(万元),144314,114659,82872,56568,54877,56691,42495, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12890,14389,10243,7404,6481,5713,3815, 
 支付的各项税费(万元),3477,2743,2935,2650,1572,1352,731, 
 支付的其他与经营活动有关的现金(万元),5891,5700,4947,2956,2831,2535,1863, 
 经营活动现金流出小计(万元),166572,137490,100997,69579,65762,66290,48904, 
 经营活动产生的现金流量净额(万元),17241,13375,1903,4923,5046,2085,1641, 
 收回投资所收到的现金(万元),56264,27829,43543,33213,7540,1760,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,10,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8,78,87,12,5,39,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),114,27,--,--,--,760,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),56386,27934,43630,33225,7555,2559,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8534,12990,8851,9042,5203,9663,4261, 
 投资所支付的现金(万元),56500,29010,42400,32000,9200,500,1760, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,10,--,--,--, 
 支付的其他与投资活动有关的现金(万元),2692,28,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),67726,42028,51251,41052,14403,10163,6021, 
 投资活动产生的现金流量净额(万元),-11340,-14094,-7621,-7827,-6849,-7604,-6021, 
 吸收投资收到的现金(万元),--,--,17993,--,4490,4000,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),17200,14920,13100,14600,9178,6000,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),21,1212,--,1000,12045,4274,4412, 
 筹资活动现金流入小计(万元),17221,16132,31093,15600,25714,14274,4412, 
 偿还债务支付的现金(万元),17320,12420,11600,13000,9178,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),649,509,500,369,414,44,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),2164,1694,618,170,13809,6797,400, 
 筹资活动现金流出小计(万元),20133,14624,12717,13539,23401,6840,400, 
 筹资活动产生的现金流量净额(万元),-2912,1508,18376,2061,2312,7434,4012, 
 汇率变动对现金及现金等价物的影响(万元),235,-431,361,338,-260,-134,0, 
 现金及现金等价物净增加额(万元),3224,359,13019,-505,250,1782,-368, 
 加:期初现金及现金等价物余额(万元),16564,16205,3186,3690,3441,1659,2027, 
 期末现金及现金等价物余额(万元),19788,16564,16205,3186,3690,3441,1659, 
 净利润(万元),13138,8154,9582,6585,4376,5015,3546, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),505,399,1499,225,15,-30,48, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),4745,3764,2870,1988,1669,1177,800, 
 无形资产摊销(万元),56,53,46,45,42,42,14, 
 长期待摊费用摊销(万元),151,65,70,91,32,29,29, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-6,55,435,3,-5,148,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),47,-47,--,82,557,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),881,1492,290,49,890,188,-0, 
 投资损失(万元),2514,-46,-43,-313,-349,--,--, 
 递延所得税资产减少(万元),-288,146,-772,34,-87,-26,-9, 
 递延所得税负债增加(万元),-7,7,--,-12,-84,--,--, 
 存货的减少(万元),-5405,-492,-7574,-1861,-881,-5460,-2020, 
 经营性应收项目的减少(万元),-7957,-2603,-7128,-4058,-532,-584,-4277, 
 经营性应付项目的增加(万元),9090,2588,2776,2223,-261,1662,3510, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),-222,-160,-149,-156,-121,-76,--, 
 经营活动产生现金流量净额(万元),17241,13375,1903,4923,5261,2085,1641, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),19596,16138,15727,3107,3690,3441,1659, 
 现金的期初余额(万元),16138,15727,3107,3690,3441,1659,2027, 
 现金等价物的期末余额(万元),192,426,478,79,--,--,--, 
 现金等价物的期初余额(万元),426,478,79,--,--,--,--, 
 现金及现金等价物的净增加额(万元),3224,359,13019,-505,250,1782,-368, 

