报告日期,2009-12-31,
货币资金(万元),133,
结算备付金(万元),--,
拆出资金(万元),--,
交易性金融资产(万元),0,
衍生金融资产(万元),--,
应收票据(万元),0,
应收账款(万元),0,
预付款项(万元),0,
应收保费(万元),--,
应收分保账款(万元),--,
应收分保合同准备金(万元),--,
应收利息(万元),0,
应收股利(万元),0,
其他应收款(万元),70,
应收出口退税(万元), --,
应收补贴款(万元),--,
应收保证金(万元),--,
内部应收款(万元),--,
买入返售金融资产(万元),--,
存货(万元),0,
待摊费用(万元),--,
待处理流动资产损益(万元),--,
一年内到期的非流动资产(万元),0,
其他流动资产(万元),0,
流动资产合计(万元),203,
发放贷款及垫款(万元),--,
可供出售金融资产(万元),0,
持有至到期投资(万元),0,
长期应收款(万元),0,
长期股权投资(万元),4134,
其他长期投资(万元),--,
投资性房地产(万元),0,
固定资产原值(万元),--,
累计折旧(万元),--,
固定资产净值(万元),--,
固定资产减值准备(万元),--,
固定资产(万元),506,
在建工程(万元),0,
工程物资(万元),0,
固定资产清理(万元),0,
生产性生物资产(万元),0,
公益性生物资产(万元),--,
油气资产(万元),0,
无形资产(万元),0,
开发支出(万元),--,
商誉(万元),--,
长期待摊费用(万元),--,
股权分置流通权(万元),--,
递延所得税资产(万元),--,
其他非流动资产(万元),--,
非流动资产合计(万元),4640,
资产总计(万元),4843,
短期借款(万元),73072,
向中央银行借款(万元),--,
吸收存款及同业存放(万元),--,
拆入资金(万元),--,
交易性金融负债(万元),0,
衍生金融负债(万元),--,
应付票据(万元),0,
应付账款(万元),11647,
预收账款(万元),3,
卖出回购金融资产款(万元),--,
应付手续费及佣金(万元),--,
应付职工薪酬(万元),0,
应交税费(万元),506,
应付利息(万元),0,
应付股利(万元),6,
其他应交款(万元),--,
应付保证金(万元),--,
内部应付款(万元),--,
其他应付款(万元),67683,
预提费用(万元),--,
预计流动负债(万元),--,
应付分保账款(万元),--,
保险合同准备金(万元),--,
代理买卖证券款(万元),--,
代理承销证券款(万元),--,
国际票证结算(万元),--,
国内票证结算(万元),--,
递延收益(万元),--,
应付短期债券(万元),--,
一年内到期的非流动负债(万元),0,
其他流动负债(万元),54890,
流动负债合计(万元),207808,
长期借款(万元),1035,
应付债券(万元),0,
长期应付款(万元),0,
专项应付款(万元),0,
预计非流动负债(万元),126186,
长期递延收益(万元),--,
递延所得税负债(万元),0,
其他非流动负债(万元),0,
非流动负债合计(万元),127221,
负债合计(万元),335029,
实收资本(或股本)(万元),30335,
资本公积(万元),23413,
减:库存股(万元),0,
专项储备(万元),--,
盈余公积(万元),0,
一般风险准备(万元),--,
未确定的投资损失(万元),--,
未分配利润(万元),-383934,
拟分配现金股利(万元),--,
外币报表折算差额(万元),--,
归属于母公司股东权益合计(万元),-330186,
少数股东权益(万元),--,
所有者权益(或股东权益)合计(万元),-330186,
负债和所有者权益(或股东权益)总计(万元),4843,		
  
