报告日期,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),1490747,1201878,1056680,1112608,1072066,909504,1111243,1041193,1191504,1434849,1075197,1103991,1000111,1225258,1464531,1372425,1389807,1443915,1449716,1796611,1642733,1038293,1208070,898269,1098818,961291,1299878,1226899,1174768,714232,394478,355653,
结算备付金(万元),129148,200405,286765,153831,212677,190901,193883,190277,155484,161407,155137,148320,134638,128905,141860,432570,164610,185640,515672,174777,328574,253551,209206,226387,187527,603760,304693,645721,720438,956981,536981,308005,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
交易性金融资产(万元),709611,667755,767588,690909,735155,819227,1121728,860861,652510,619101,547518,346404,279664,492436,430659,320639,308903,378170,349589,426053,238990,247437,203002,208741,26944,44278,58499,53164,173765,120557,113840,24930,
衍生金融资产(万元),1,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,0,0,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,--,0,0,0,0,0,0,215,--,
应收账款(万元),18588,13878,10645,8943,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,2637,2130,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,0,31458,1796,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,0,0,0,--,
