报告日期,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),6410,5659,7089,7163,10711,8135,5834,7484,14440,11398,
结算备付金(万元),--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,0,
应收票据(万元),1582,928,4595,880,7079,8527,8284,5185,2922,5316,
应收账款(万元),4439,5796,5944,4508,3108,11210,17342,17206,16234,17841,
预付款项(万元),5827,5261,5298,6985,10520,4301,11938,10074,7751,5299,
应收保费(万元),--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,0,
其他应收款(万元),2264,2078,2910,1962,1812,2239,1057,975,912,716,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,0,
存货(万元),91719,101440,137304,108109,98335,96650,100951,77667,70004,69296,
待摊费用(万元),--,--,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,0,
流动资产合计(万元),112242,121162,163140,129606,131565,131062,145407,118590,112263,109867,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),0,0,0,--,--,--,1004,728,1343,598,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,0,
长期股权投资(万元),1616,1616,1616,1616,1829,2129,2953,3307,3531,3353,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,0,
投资性房地产(万元),1597,1621,1642,1663,1693,1714,1762,1810,--,1905,
固定资产原值(万元),--,161216,--,160227,--,162515,--,163436,--,161909,
累计折旧(万元),--,85806,--,83504,--,83414,--,84004,--,81141,
固定资产净值(万元),--,75410,--,76723,--,79101,--,79433,--,80768,
固定资产减值准备(万元),--,14713,--,14721,--,15207,--,16469,--,16469,
固定资产(万元),59695,60697,60864,62002,62752,63894,61650,62963,65229,64299,
在建工程(万元),1488,1356,1677,1028,1526,1035,3905,3299,3674,3024,
工程物资(万元),--,--,--,--,--,--,119,119,119,119,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,0,
无形资产(万元),8260,8303,8354,8404,8274,8324,8380,8437,8493,8550,
