报告日期,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),287856,292317,371400,249225,293286,221029,283961,372779,366532,438308,402610,296161,3365,2968,2809,3990,3216,
结算备付金(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),222,3261,3188,3127,3151,1017,1032,867,746,781,885,983,1379,1350,1081,491,176,
衍生金融资产(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),354525,384089,93942,286413,303591,74732,66543,69158,125599,196760,82358,109137,216,567,927,9,0,
应收账款(万元),9376,10927,23517,23518,38523,36107,44829,111877,12215,20938,17652,19014,6729,3731,4070,4304,6383,
预付款项(万元),112589,96931,92847,78618,64029,87334,106037,130965,133420,157769,26162,128051,1664,6190,5859,5942,7218,
应收保费(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应收股利(万元),--,--,0,--,0,--,0,--,8181,--,--,--,--,0,--,--,0,
其他应收款(万元),14364,36892,19796,20852,21109,38904,26882,27771,25992,86887,43772,19483,7053,9518,9483,9393,10287,
应收出口退税(万元), --,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应收补贴款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
应收保证金(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
内部应收款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
买入返售金融资产(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
存货(万元),166878,144071,137614,108161,162674,199226,171510,143933,138227,141040,112203,89597,8485,10494,11911,11005,10371,
待摊费用(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
待处理流动资产损益(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
一年内到期的非流动资产(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
其他流动资产(万元),--,--,0,--,0,22,0,--,--,12,5,53,--,-23,48,2,0,
流动资产合计(万元),945810,968488,742303,769913,886362,658371,700794,857350,810911,1042496,685648,662479,28892,34796,36187,35137,37651,
发放贷款及垫款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
可供出售金融资产(万元),--,--,0,--,0,--,1715,1219,783,2060,1225,3917,3917,5438,3818,--,1882,
持有至到期投资(万元),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,--,19,
长期应收款(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
长期股权投资(万元),9513,9513,9513,9543,9543,9246,9246,9246,9246,9027,7991,8466,6065,6581,6004,6480,6029,
其他长期投资(万元),--,--,0,--,0,--,0,--,--,--,--,--,--,0,--,--,0,
投资性房地产(万元),2131,2158,1848,1873,1897,1922,1946,1971,1995,2020,2044,2069,1358,113,115,116,1415,
固定资产原值(万元),523551,--,487208,--,477716,--,459925,--,451240,--,437280,--,49149,--,50629,--,49022,
累计折旧(万元),206915,--,194576,--,190242,--,179440,--,168325,--,157961,--,22299,--,21732,--,20016,
固定资产净值(万元),316636,--,292631,--,287474,--,280485,--,282915,--,279319,--,26850,--,28897,--,29007,
固定资产减值准备(万元),5448,--,4013,--,7785,--,6952,--,6319,--,6035,--,34,--,0,--,0,
