报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),186,186,183,184,192,235,241,263,219,205,211,256,217,242,282,358,271,82,91,119,1237,1270,1336,1887,86790,86708,85965,85778,20229,25265,17987,19543,72691,76941,77143,98068,106381,156045,149336,147254,5814,5574,2237,10430,2780,10598,12717,10792,11945,13875,7157,5127,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,1400,1400,--,--,--,--,--,385,528,0,--,0,--,--,--,--,--,--,--,--,7700,7700,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8240,8240,47140,45900,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收账款(万元),--,--,--,--,107,107,107,228,204,259,210,266,12284,12230,12213,12236,19999,35372,35462,35351,27200,27084,27013,28263,28787,21832,26770,26858,35183,14750,23274,10477,39826,10505,27991,14262,16051,8802,1093,429,368,4542,4956,137,647,726,468,1926,179,1911,2286,2070,
预付款项(万元),--,4,8,12,358,362,366,361,358,358,358,358,358,358,358,358,51498,77943,77942,77942,78303,78303,78303,78163,82547,81470,74900,75219,102263,113360,122011,120065,126756,135802,110228,102875,112390,66537,54289,31241,4125,3710,3025,2942,2996,135,135,138,4348,6660,2248,200,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,1221,--,0,1440,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,0,
其他应收款(万元),--,5358,--,5358,--,--,9322,9471,10249,10275,10325,10413,54458,54450,54442,54608,51703,17571,17718,17886,22169,18307,19032,17635,8135,13650,15390,14142,62909,48127,17091,11043,20476,8380,20691,14478,9038,5316,1306,1094,1218,949,866,892,9711,1257,3280,4210,3834,3057,21019,21297,
