报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2006-12-31,
货币资金(万元),6709,18705,5670,14219,5245,7643,5701,17571,4837,9134,4857,12616,8114,6054,6699,7974,6911,7336,54,337,29,28,57,68,85,40,51,80,61,62,53,39,225,200,204,143,81,74,56,17,37,31,35,23,17,19,17,17,40,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,0,0,0,--,--,--,--,--,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,0,0,0,--,--,--,--,--,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,654,690,741,698,709,922,732,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,0,0,0,--,--,--,--,--,0,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),729,200,250,--,--,--,20,--,--,--,90,60,400,--,160,--,--,--,--,--,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,0,0,0,--,--,--,--,--,0,0,0,--,--,
应收账款(万元),63236,50653,45390,54539,46465,52779,44572,54135,16725,18394,16300,22476,14957,18358,15125,344,153,121,121,128,--,--,--,--,0,0,0,--,--,0,0,--,--,--,--,0,0,0,0,--,1,7,1,1,41,41,41,41,108,
预付款项(万元),1552,1229,1741,553,3099,2826,4953,360,478,217,177,86,284,327,296,--,283,7,11,--,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,281,338,338,338,338,338,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,0,0,0,0,--,--,--,--,--,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,0,0,0,--,--,--,--,0,0,0,0,--,--,--,--,--,0,0,0,--,--,
