报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),21423,19931,22287,24208,23724,25947,21468,407,286,1918,318,640,1440,1877,443,355,397,577,89,615,268,502,2357,2732,3295,3541,3663,3660,1130,1608,142,120,118,126,24,11,15,51,13,16,77,102,723,901,1078,1310,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收票据(万元),--,--,--,--,--,10,10,--,129,--,470,20,553,692,605,600,689,533,55,50,150,150,197,212,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收账款(万元),8128,8795,8760,5411,6595,6638,9837,5967,6586,5703,531,638,396,317,1642,2225,1520,796,2294,781,576,734,--,--,--,--,--,--,--,--,--,0,--,0,--,0,1,1,341,191,88,3,153,132,152,133,
预付款项(万元),1656,2799,2140,1754,2790,633,1136,963,327,349,86,42,123,81,490,203,80,470,-26,663,779,961,417,4,--,3,--,--,--,1,1715,1715,--,1715,1788,1758,1794,1803,1720,1702,1712,1703,1730,1700,1707,1701,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收利息(万元),223,209,128,86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
其他应收款(万元),678,114,432,132,854,103,477,315,641,680,6,207,95,22,153,108,109,43,389,157,151,142,196,139,190,131,14,505,3378,3308,1234,1155,1157,1149,1359,1358,2571,1801,1650,0,1556,1404,1494,1397,1022,1068,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,1512,--,0,0,--,--,0,
存货(万元),--,--,--,--,--,--,--,--,349,28,340,673,325,340,369,114,180,694,493,594,940,488,130,72,--,--,--,--,--,--,--,0,--,0,--,0,--,--,33,0,33,33,80,80,99,99,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,33,--,0,0,--,--,0,
其他流动资产(万元),1973,2017,440,250,286,193,13,14,--,21,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
流动资产合计(万元),34081,33865,34188,31841,34249,33524,32942,7666,8318,8699,1751,2219,2932,3330,3702,3605,2975,3113,3294,2860,2864,2976,3298,3159,3485,3675,3678,4165,4508,4917,3090,2989,1274,2989,3171,3127,4381,3656,3757,3454,3465,3245,4180,4209,4057,4310,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,86,86,86,86,97,97,111,111,164,164,156,164,--,0,--,0,--,0,0,0,0,0,--,0,0,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,173,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,5394,5448,5501,5555,5608,5662,5714,5817,5871,5925,5979,6033,0,--,2569,6248,
固定资产原值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,235,--,100,--,222,--,221,--,99,--,62,--,55,--,55,--,23,--,14,--,14,--,14,--,12,--,16,--,4052,--,11,
累计折旧(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,71,--,65,--,60,--,48,--,34,--,25,--,20,--,15,--,13,--,12,--,12,--,11,--,8,--,11,--,1411,--,10,
固定资产净值(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,165,--,35,--,162,--,174,--,65,--,37,--,35,--,40,--,10,--,2,--,2,--,3,--,4,--,5,--,2641,--,1,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,100,--,0,
固定资产(万元),90,98,102,104,120,82,101,110,120,219,157,164,170,173,159,165,33,35,156,162,171,174,179,65,34,37,33,35,38,40,10,10,7,2,2,2,3,3,3,4,4,5,2509,2541,6,1,
在建工程(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
无形资产(万元),1167,1172,1433,1496,1334,1375,1465,1535,886,938,--,--,--,--,--,--,--,--,1,1,1,1,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,3582,3604,3625,0,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
商誉(万元),5433,5433,5433,5433,5433,5433,5433,5433,5433,5433,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
长期待摊费用(万元),78,86,93,101,108,115,128,136,--,8,22,15,18,24,12,17,--,--,12,12,14,14,--,--,1,1,2,2,2,2,2,2,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
递延所得税资产(万元),54,37,56,44,27,27,36,36,29,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,967,967,3086,0,
其他非流动资产(万元),--,0,--,--,565,565,565,565,565,565,565,565,565,565,--,--,--,--,6,10,6,6,6,6,6,6,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
非流动资产合计(万元),6823,6826,7117,7178,7586,7598,7727,7814,7033,7193,744,743,754,763,171,181,33,35,261,271,278,280,282,168,152,155,199,202,196,207,5406,5459,5508,5557,5610,5664,5717,5821,5875,5929,5983,6037,7058,7111,9459,6249,
资产总计(万元),40904,40691,41305,39019,41835,41122,40669,15480,15352,15891,2494,2963,3685,4092,3872,3786,3007,3148,3555,3131,3142,3256,3580,3328,3637,3830,3877,4367,4705,5123,8496,8448,6783,8546,8781,8791,10097,9476,9632,9383,9448,9283,11238,11321,13516,10559,
短期借款(万元),--,--,--,--,--,--,--,329,--,--,--,--,--,--,500,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,2710,2710,2710,2650,2560,2470,2380,3290,5699,5579,5489,5429,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,--,0,0,--,--,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,--,0,0,--,--,0,
应付账款(万元),2644,1886,2159,1286,1043,1114,2480,1968,1409,1143,86,124,156,188,218,228,79,203,52,29,43,44,25,19,2070,2074,2072,2079,2161,2261,2236,2236,529,2243,2267,2268,2264,2302,2242,2305,2352,2369,2260,2272,2263,2344,
预收账款(万元),194,234,323,420,451,251,282,551,152,40,316,490,--,0,7,293,10,10,299,6,6,6,6,6,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,326,291,322,262,267,267,
