报告日期,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),1473,839,2120,898,2428,
结算备付金(万元),0,0,0,0,0,
拆出资金(万元),0,0,0,0,0,
交易性金融资产(万元),0,0,0,0,0,
衍生金融资产(万元),0,0,0,0,0,
应收票据(万元),0,0,0,0,0,
应收账款(万元),109,120,117,408,288,
预付款项(万元),950,597,846,253,1053,
应收保费(万元),0,0,0,0,0,
应收分保账款(万元),0,0,0,0,0,
应收分保合同准备金(万元),0,0,0,0,0,
应收利息(万元),0,0,0,0,0,
应收股利(万元),0,0,0,0,0,
其他应收款(万元),449,376,384,629,505,
应收出口退税(万元), 0,0,0,0,0,
应收补贴款(万元),0,0,0,0,0,
应收保证金(万元),0,0,0,0,0,
内部应收款(万元),0,0,0,0,0,
买入返售金融资产(万元),0,0,0,0,0,
存货(万元),33623,31174,27708,21649,12481,
待摊费用(万元),0,0,0,0,0,
待处理流动资产损益(万元),0,0,0,0,0,
一年内到期的非流动资产(万元),0,0,0,0,0,
其他流动资产(万元),0,0,0,0,0,
流动资产合计(万元),36603,33106,31175,23837,16755,
发放贷款及垫款(万元),0,0,0,0,0,
可供出售金融资产(万元),0,0,0,0,0,
持有至到期投资(万元),0,0,0,0,0,
长期应收款(万元),0,0,0,0,0,
长期股权投资(万元),0,0,0,0,0,
其他长期投资(万元),0,0,0,0,0,
投资性房地产(万元),0,0,0,0,0,
固定资产原值(万元),0,8293,8292,0,0,
累计折旧(万元),0,2095,1886,0,0,
固定资产净值(万元),0,6199,6406,0,0,
固定资产减值准备(万元),0,0,0,0,0,
固定资产(万元),6099,6199,6406,6709,7092,
在建工程(万元),21,12,11,18,0,
工程物资(万元),0,0,0,0,0,
固定资产清理(万元),0,0,0,0,0,
生产性生物资产(万元),0,0,0,0,0,
公益性生物资产(万元),0,0,0,0,0,
油气资产(万元),0,0,0,0,0,
无形资产(万元),1351,1360,1325,1357,1372,
开发支出(万元),0,0,0,0,0,
商誉(万元),0,0,0,0,0,
长期待摊费用(万元),0,0,0,0,0,
股权分置流通权(万元),0,0,0,0,0,
递延所得税资产(万元),5,5,5,12,22,
其他非流动资产(万元),0,0,0,0,0,
非流动资产合计(万元),7476,7576,7748,8095,8485,
资产总计(万元),44080,40683,38923,31932,25240,
短期借款(万元),9300,11220,12180,11500,8150,
向中央银行借款(万元),0,0,0,0,0,
吸收存款及同业存放(万元),0,0,0,0,0,
拆入资金(万元),0,0,0,0,0,
交易性金融负债(万元),0,0,0,0,0,
衍生金融负债(万元),0,0,0,0,0,
应付票据(万元),0,600,600,0,0,
应付账款(万元),249,2648,2585,4392,849,
预收账款(万元),2674,2526,2311,90,1477,
卖出回购金融资产款(万元),0,0,0,0,0,
应付手续费及佣金(万元),0,0,0,0,0,
应付职工薪酬(万元),169,305,192,168,66,
应交税费(万元),1649,1220,1273,677,838,
应付利息(万元),0,0,0,0,0,
应付股利(万元),0,0,0,0,60,
其他应交款(万元),0,0,0,0,0,
应付保证金(万元),0,0,0,0,0,
内部应付款(万元),0,0,0,0,0,
其他应付款(万元),713,754,653,411,7221,
预提费用(万元),0,0,0,0,0,
预计流动负债(万元),0,0,0,0,0,
应付分保账款(万元),0,0,0,0,0,
保险合同准备金(万元),0,0,0,0,0,
代理买卖证券款(万元),0,0,0,0,0,
代理承销证券款(万元),0,0,0,0,0,
国际票证结算(万元),0,0,0,0,0,
国内票证结算(万元),0,0,0,0,0,
递延收益(万元),0,0,0,0,0,
应付短期债券(万元),0,0,0,0,0,
一年内到期的非流动负债(万元),0,0,0,600,800,
其他流动负债(万元),0,0,0,0,0,
流动负债合计(万元),14755,19273,19794,17838,19460,
长期借款(万元),7000,0,0,0,600,
应付债券(万元),0,0,0,0,0,
长期应付款(万元),0,0,0,0,0,
专项应付款(万元),0,0,0,0,0,
预计非流动负债(万元),0,0,0,0,0,
长期递延收益(万元),0,0,0,0,0,
递延所得税负债(万元),0,0,0,0,0,
其他非流动负债(万元),0,0,0,0,0,
非流动负债合计(万元),7000,0,0,0,600,
负债合计(万元),21755,19273,19794,17838,20060,
实收资本(或股本)(万元),5100,5100,5100,4500,3200,
资本公积(万元),8696,8696,8696,6956,0,
减:库存股(万元),0,0,0,0,0,
专项储备(万元),0,0,0,0,0,
盈余公积(万元),560,560,560,264,204,
一般风险准备(万元),0,0,0,0,0,
未确定的投资损失(万元),0,0,0,0,0,
未分配利润(万元),7969,7053,4772,2374,1776,
拟分配现金股利(万元),0,0,0,0,0,
外币报表折算差额(万元),0,0,0,0,0,
归属于母公司股东权益合计(万元),22325,21409,19129,14094,5180,
少数股东权益(万元),0,0,0,0,0,
所有者权益(或股东权益)合计(万元),22325,21409,19129,14094,5180,
负债和所有者权益(或股东权益)总计(万元),44080,40683,38923,31932,25240,		
  
