报告日期,2007-03-31,2006-12-31,
货币资金(万元),2165,4101,
结算备付金(万元),--,--,
拆出资金(万元),--,--,
交易性金融资产(万元),--,--,
衍生金融资产(万元),--,--,
应收票据(万元),--,--,
应收账款(万元),5191,7469,
预付款项(万元),434,423,
应收保费(万元),--,--,
应收分保账款(万元),--,--,
应收分保合同准备金(万元),--,--,
应收利息(万元),--,--,
应收股利(万元),15,15,
其他应收款(万元),34362,35500,
应收出口退税(万元), --,--,
应收补贴款(万元),--,--,
应收保证金(万元),--,--,
内部应收款(万元),--,--,
买入返售金融资产(万元),--,--,
存货(万元),5429,7831,
待摊费用(万元),--,--,
待处理流动资产损益(万元),--,--,
一年内到期的非流动资产(万元),--,--,
其他流动资产(万元),2,4,
流动资产合计(万元),47598,55343,
发放贷款及垫款(万元),--,--,
可供出售金融资产(万元),--,--,
持有至到期投资(万元),--,--,
长期应收款(万元),--,--,
长期股权投资(万元),2511,2516,
其他长期投资(万元),--,--,
投资性房地产(万元),--,--,
固定资产原值(万元),--,37257,
累计折旧(万元),--,11070,
固定资产净值(万元),--,26187,
固定资产减值准备(万元),--,1699,
固定资产(万元),9377,24488,
在建工程(万元),6855,7261,
工程物资(万元),--,--,
固定资产清理(万元),--,--,
生产性生物资产(万元),--,--,
公益性生物资产(万元),--,--,
油气资产(万元),--,--,
无形资产(万元),5216,5293,
开发支出(万元),--,--,
商誉(万元),--,--,
长期待摊费用(万元),--,--,
股权分置流通权(万元),--,--,
递延所得税资产(万元),--,--,
其他非流动资产(万元),--,--,
非流动资产合计(万元),23958,39558,
资产总计(万元),71556,94901,
短期借款(万元),36361,42158,
向中央银行借款(万元),--,--,
吸收存款及同业存放(万元),--,--,
拆入资金(万元),--,--,
交易性金融负债(万元),--,--,
衍生金融负债(万元),--,--,
应付票据(万元),--,--,
应付账款(万元),3613,4870,
预收账款(万元),780,1640,
卖出回购金融资产款(万元),--,--,
应付手续费及佣金(万元),--,--,
应付职工薪酬(万元),1599,1648,
应交税费(万元),-484,-463,
应付利息(万元),10103,9099,
应付股利(万元),8,81,
其他应交款(万元),--,--,
应付保证金(万元),--,--,
内部应付款(万元),--,--,
其他应付款(万元),7346,16261,
预提费用(万元),--,--,
预计流动负债(万元),--,--,
应付分保账款(万元),--,--,
保险合同准备金(万元),--,--,
代理买卖证券款(万元),--,--,
代理承销证券款(万元),--,--,
国际票证结算(万元),--,--,
国内票证结算(万元),--,--,
递延收益(万元),--,--,
应付短期债券(万元),--,--,
一年内到期的非流动负债(万元),33407,33407,
其他流动负债(万元),--,--,
流动负债合计(万元),92733,108701,
长期借款(万元),--,9969,
应付债券(万元),--,--,
长期应付款(万元),145,145,
专项应付款(万元),810,1801,
预计非流动负债(万元),--,--,
长期递延收益(万元),--,--,
递延所得税负债(万元),--,--,
其他非流动负债(万元),--,--,
非流动负债合计(万元),956,11915,
负债合计(万元),93689,120616,
实收资本(或股本)(万元),34814,34814,
资本公积(万元),43884,43884,
减:库存股(万元),--,--,
专项储备(万元),--,--,
盈余公积(万元),4705,4705,
一般风险准备(万元),--,--,
未确定的投资损失(万元),--,--,
未分配利润(万元),-106670,-110427,
拟分配现金股利(万元),--,--,
外币报表折算差额(万元),--,--,
归属于母公司股东权益合计(万元),-23268,-27025,
少数股东权益(万元),1135,1310,
所有者权益(或股东权益)合计(万元),-22133,-25715,
负债和所有者权益(或股东权益)总计(万元),71556,94901,		
  
