报告日期,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),23010,30724,29373,35168,37584,33323,31947,23961,17173,22977,15370,14399,16172,7327,7442,9132,
结算备付金(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
拆出资金(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
交易性金融资产(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
衍生金融资产(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收票据(万元),20666,17666,14367,16941,16876,14983,12214,13344,17687,23858,17859,19534,11313,7727,3512,5939,
应收账款(万元),39258,24333,31767,16809,27300,17304,16822,11814,18350,16856,19196,16270,19870,22945,21540,23544,
预付款项(万元),10084,27869,4946,4019,6867,6262,6328,7171,10211,9026,6658,5948,3846,5542,5802,6891,
应收保费(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收分保账款(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收分保合同准备金(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收利息(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收股利(万元),--,0,--,0,--,0,280,280,--,--,--,--,--,0,--,0,
其他应收款(万元),3134,2667,1964,2299,3221,3275,1566,1043,1807,1649,2754,2366,1926,1537,1907,1490,
应收出口退税(万元), --,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收补贴款(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
应收保证金(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
内部应收款(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
买入返售金融资产(万元),--,0,--,0,--,0,--,--,--,--,--,--,--,0,--,0,
