报告日期,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),30962,23726,35800,47105,37754,48368,35326,36424,
结算备付金(万元),--,0,--,--,--,0,--,0,
拆出资金(万元),--,0,--,--,--,0,--,0,
交易性金融资产(万元),--,0,--,--,--,0,--,0,
衍生金融资产(万元),--,0,--,--,--,0,--,0,
应收票据(万元),6364,8125,3851,4370,5447,3320,3700,4218,
应收账款(万元),37181,36598,34480,30770,32562,29393,29602,25427,
预付款项(万元),42309,36735,39792,26183,26709,28126,34219,25752,
应收保费(万元),--,0,--,--,--,0,--,0,
应收分保账款(万元),--,0,--,--,--,0,--,0,
应收分保合同准备金(万元),--,0,--,--,--,0,--,0,
应收利息(万元),--,0,--,--,--,0,--,0,
应收股利(万元),12707,16030,12707,18132,7105,4325,3325,4575,
其他应收款(万元),4333,6441,2652,2071,3274,4171,5275,1944,
应收出口退税(万元), --,0,--,--,--,0,--,0,
应收补贴款(万元),--,0,--,--,--,0,--,0,
应收保证金(万元),--,0,--,--,--,0,--,0,
内部应收款(万元),--,0,--,--,--,0,--,0,
买入返售金融资产(万元),--,0,--,--,--,0,--,0,
存货(万元),25251,21159,21097,17201,19474,18025,18349,15108,
待摊费用(万元),--,0,--,--,--,0,--,0,
待处理流动资产损益(万元),--,0,--,--,--,0,--,0,
一年内到期的非流动资产(万元),--,0,--,--,--,0,--,0,
其他流动资产(万元),--,0,--,--,--,0,--,0,
流动资产合计(万元),159108,148814,150380,145833,132324,135729,129796,113448,
发放贷款及垫款(万元),--,0,--,--,--,0,--,0,
可供出售金融资产(万元),1083,1226,1846,2418,2620,1881,--,1522,
持有至到期投资(万元),--,0,--,--,--,0,--,0,
长期应收款(万元),--,0,--,--,--,0,--,0,
长期股权投资(万元),203186,186820,183024,169866,182147,171695,180775,166010,
其他长期投资(万元),--,0,--,--,--,0,--,0,
投资性房地产(万元),6574,6679,6784,6889,--,650,--,0,
固定资产原值(万元),--,30584,--,30444,--,37196,--,37675,
累计折旧(万元),--,17176,--,16398,--,17433,--,16508,
固定资产净值(万元),--,13408,--,14045,--,19763,--,21167,
固定资产减值准备(万元),--,2112,--,2124,--,2151,--,2151,
固定资产(万元),11450,11296,11995,11921,18990,17613,18654,19016,
在建工程(万元),15930,12625,11867,8154,8222,8562,7531,7406,
工程物资(万元),--,0,--,--,--,0,--,0,
固定资产清理(万元),--,0,--,--,-1,-1,--,0,
生产性生物资产(万元),--,0,--,--,--,0,--,0,
公益性生物资产(万元),--,0,--,--,--,0,--,0,
油气资产(万元),--,0,--,--,--,0,--,0,
无形资产(万元),12549,12919,12509,12879,14048,14164,14327,14697,
开发支出(万元),1024,1024,1283,1237,--,0,--,0,
商誉(万元),--,0,--,--,--,0,--,0,
长期待摊费用(万元),25,32,40,47,155,73,96,119,
股权分置流通权(万元),--,0,--,--,--,0,--,0,
递延所得税资产(万元),678,678,683,600,745,745,745,675,
其他非流动资产(万元),--,0,--,--,--,0,--,0,
非流动资产合计(万元),252499,233300,230031,214011,226927,215382,222127,209447,
资产总计(万元),411606,382114,380411,359844,359251,351110,351923,322895,
短期借款(万元),24100,24100,41200,47000,50000,0,--,0,
向中央银行借款(万元),--,0,--,--,--,0,--,0,
吸收存款及同业存放(万元),--,0,--,--,--,0,--,0,
拆入资金(万元),--,0,--,--,--,0,--,0,
交易性金融负债(万元),0,0,--,--,--,0,--,0,
衍生金融负债(万元),--,0,--,--,--,0,--,0,
应付票据(万元),--,0,--,--,--,0,1103,0,
应付账款(万元),63696,62983,62832,54197,50937,54635,50678,38012,
预收账款(万元),26670,15707,16864,9365,13071,15013,21752,22260,
卖出回购金融资产款(万元),--,0,--,--,--,0,--,0,
应付手续费及佣金(万元),--,0,--,--,--,0,--,0,
应付职工薪酬(万元),2178,2543,2850,3042,2552,2580,2596,2629,
应交税费(万元),391,1244,-711,-665,-1282,-640,-807,-2,
应付利息(万元),--,0,--,--,--,0,--,0,
应付股利(万元),528,579,670,742,940,1748,451,503,
其他应交款(万元),--,0,--,--,--,0,--,0,
应付保证金(万元),--,0,--,--,--,0,--,0,
内部应付款(万元),--,0,--,--,--,0,--,0,
其他应付款(万元),10799,10089,7870,11769,10744,10588,11529,11701,
预提费用(万元),--,0,--,--,--,0,--,0,
预计流动负债(万元),--,0,--,--,--,0,--,0,
应付分保账款(万元),--,0,--,--,--,0,--,0,
保险合同准备金(万元),--,0,--,--,--,0,--,0,
代理买卖证券款(万元),--,0,--,--,--,0,--,0,
代理承销证券款(万元),--,0,--,--,--,0,--,0,
国际票证结算(万元),--,0,--,--,--,0,--,0,
国内票证结算(万元),--,0,--,--,--,0,--,0,
递延收益(万元),--,0,--,--,--,0,--,0,
应付短期债券(万元),--,0,--,--,--,0,--,0,
一年内到期的非流动负债(万元),--,0,--,--,--,49847,49387,48927,
其他流动负债(万元),--,0,--,--,--,0,--,0,
流动负债合计(万元),128362,117245,131575,125450,126961,133772,136689,124029,
长期借款(万元),318,318,341,364,364,364,386,409,
应付债券(万元),--,0,--,--,--,0,--,0,
长期应付款(万元),--,0,--,--,--,0,1,1,
专项应付款(万元),--,0,--,--,--,0,--,0,
预计非流动负债(万元),--,0,--,--,--,0,--,0,
长期递延收益(万元),--,--,--,--,--,--,--,--,
递延所得税负债(万元),291,291,291,291,321,0,--,91,
其他非流动负债(万元),--,0,--,--,--,0,--,0,
非流动负债合计(万元),609,609,632,654,685,364,387,502,
负债合计(万元),128971,117853,132206,126104,127646,134136,137076,124531,
实收资本(或股本)(万元),51797,51797,51797,51797,51797,51797,51797,51797,
资本公积(万元),41846,41549,43799,44371,39289,35873,34283,35065,
减:库存股(万元),--,0,--,--,--,0,--,0,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),21645,21645,21645,21645,19210,19210,19210,17149,
一般风险准备(万元),--,0,--,--,--,0,--,0,
未确定的投资损失(万元),--,0,--,--,--,0,--,0,
未分配利润(万元),164234,146326,127851,112698,117799,106578,109051,93847,
拟分配现金股利(万元),--,0,--,--,--,0,--,0,
外币报表折算差额(万元),--,0,--,--,--,0,--,0,
归属于母公司股东权益合计(万元),279522,261317,245091,230511,228095,213457,214340,197858,
少数股东权益(万元),3114,2943,3114,3229,3510,3518,507,507,
所有者权益(或股东权益)合计(万元),282636,264260,248205,233739,231605,216975,214847,198364,
负债和所有者权益(或股东权益)总计(万元),411606,382114,380411,359844,359251,351110,351923,322895,		
  
