报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),320925,349315,238736,234124,83993,198049,147145,261418,168373,183605,199993,248734,256473,275148,224190,330878,329736,308208,227643,230764,142306,173992,135649,273324,229409,238940,201096,166984,162855,240336,77829,73577,70738,60351,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,27,102,86,86,20,13,0,489,435,538,672,991,1120,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收票据(万元),20760,14280,11880,4800,4800,--,16034,16965,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收账款(万元),57840,52255,56306,41942,34147,29103,14061,17429,22507,6043,25999,27342,28718,3001,25753,12778,14026,1198,9019,5005,5238,1121,12438,14837,7987,978,7775,6981,8223,1495,4312,5392,6010,5402,
预付款项(万元),55207,20335,44289,42883,32490,14398,35845,28433,17557,6519,25816,18039,24993,6726,19293,3875,4458,5638,42030,19201,33006,18979,31282,2543,6149,5383,16207,3531,14607,3262,3693,4381,389,2466,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,0,--,331,
应收股利(万元),1303,557,1079,1555,107,502,1053,2094,2059,69,97,2611,34,859,395,1056,430,35,825,4473,1170,1170,--,1252,0,0,8,776,17,17,126,1719,163,1899,
其他应收款(万元),29354,43111,37850,32079,40485,33759,139409,100870,83562,68740,4934,4865,3743,3115,3362,3198,7195,6410,4030,3174,2526,3132,3221,2939,2932,2759,3071,3484,46278,8255,10716,10338,4707,17355,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
存货(万元),227183,261375,171210,163049,143405,182102,130044,127930,127160,118860,117545,113728,107933,102433,124218,122730,114877,113031,103392,106538,104078,131483,131070,127244,126506,127049,28310,26209,23036,20297,26952,27177,26212,26042,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,54115,42888,41966,41966,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,4772,0,
流动资产合计(万元),775846,804195,561350,520432,339427,457913,483590,555138,421218,383836,428500,458206,463860,433248,397212,474515,470729,434547,387042,369242,288409,329897,313674,422139,373472,375544,257006,208638,256008,274782,123628,122584,112991,113847,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,0,--,--,--,--,0,
