报告日期,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),14905,65366,48692,32200,12648,77993,56297,35555,15822,61955,43891,26745,11615,
营业收入(万元),14905,65366,48692,32200,12648,77993,56297,35555,15822,61955,43891,26745,11615,
利息收入(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
营业总成本(万元),16604,76340,56613,37355,14828,77356,55201,34959,15869,60615,42571,25962,11267,
营业成本(万元),14556,65963,49518,32563,12733,67831,48000,30274,13544,50125,35276,21444,9733,
利息支出(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
营业税金及附加(万元),69,139,85,77,29,364,267,187,79,437,370,187,137,
销售费用(万元),281,1516,1000,804,394,1904,1642,961,420,1760,1384,866,411,
管理费用(万元),1354,6436,4585,2875,1322,6176,4652,3154,1584,6341,4537,2794,690,
财务费用(万元),343,1634,1132,782,350,1253,832,575,242,1464,1004,671,296,
资产减值损失(万元),--,652,293,254,--,-171,-193,-193,0,489,0,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
投资收益(万元),--,--,--,--,--,44,--,--,0,--,0,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,-0,--,--,0,--,0,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,0,--,0,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
营业利润(万元),-1699,-10974,-7920,-5155,-2180,681,1097,597,-47,1340,1320,783,348,
营业外收入(万元),212,1084,845,829,737,1023,683,327,200,1152,630,480,308,
营业外支出(万元),32,91,43,41,6,162,30,4,0,230,40,30,1,
非流动资产处置损失(万元),32,41,2,--,--,92,9,0,0,180,5,--,--,
利润总额(万元),-1518,-9981,-7119,-4367,-1449,1543,1749,920,153,2262,1910,1232,654,
所得税费用(万元),--,276,97,171,12,253,255,117,-24,479,306,181,132,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,
净利润(万元),-1518,-10257,-7216,-4538,-1461,1290,1494,803,178,1783,1604,1051,522,
归属于母公司所有者的净利润(万元),-1412,-10036,-7236,-4632,-1466,1164,1339,680,105,1868,1655,1044,520,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-106,-221,20,95,5,126,155,123,72,-85,-51,7,2,
基本每股收益,-0.08,-0.54,-0.39,-0.25,-0.08,0.06,0.07,0.04,0.01,0.1,0.09,0.06,0.03,
稀释每股收益,-0.08,-0.54,-0.39,-0.25,-0.08,0.06,0.07,0.04,0.01,0.1,0.09,0.06,0.03,
