报告日期,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),356564,214716,107038,411851,335318,242862,140168,329587,243815,183472,90118,235370,187404,155533,81282,330472,259638,170854,94342,291990,212446,131107,62011,159847,123285,97051,70724,443514,369540,136301,25656,74350,28052,16488,4961,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,1172,--,--,--,--,
利息收入(万元),30672,53412,12949,82190,31245,33052,9405,48940,22024,19163,3795,34765,13902,16038,4595,24947,11956,12245,4283,23234,11704,10074,3249,28260,11896,16875,4591,13377,9505,11504,2924,2538,1280,1491,658,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,137484,--,53804,178827,151529,119915,60355,244136,180270,124481,62074,238189,171776,100991,43418,136448,111167,80919,46405,228911,187342,119949,20976,32375,21545,14258,3577,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
其他业务收入(万元),12895,9013,3870,2338,2256,1507,1014,1879,1694,1247,738,2069,1510,1147,781,1301,1025,826,696,610,620,502,187,7317,6241,5556,3479,9345,803,--,0,5473,332,--,--,
营业总成本(万元),188878,115385,59273,244510,184279,131089,74914,211489,136552,97339,53856,147440,97649,73948,36386,156508,110659,74328,39287,135505,89948,60109,20043,86234,56527,39776,18857,120306,77589,64817,15990,38102,17990,13346,5455,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,982,--,--,--,--,
利息支出(万元),--,32366,--,38227,--,13456,--,15953,--,9354,--,15600,--,7231,--,8927,--,4224,0,6520,--,2742,0,12453,0,8494,0,0,0,5783,1088,--,--,1149,505,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,0,--,0,0,0,--,0,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
其他业务成本(万元),11218,7660,3160,757,309,224,143,381,309,237,158,442,368,295,76,256,169,97,22,161,38,25,12,3958,3947,3935,2239,5860,34,--,0,2656,6,--,--,
营业税金及附加(万元),18413,11142,5563,24950,18440,13163,5989,17429,13045,9440,4868,13040,10725,8434,4223,17642,13068,8848,4479,15429,11235,6811,2956,8088,6487,5775,2685,21310,14373,9190,2027,2953,1213,754,206,
销售费用(万元),159012,96347,50312,213946,165567,117703,68782,177105,123199,87663,48830,134532,86838,65448,32287,136141,97493,65453,34785,119944,78690,53288,17090,75019,46096,30066,13933,84886,64011,45258,11542,25173,14431,9530,4281,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,-4,--,--,-1,-0,
资产减值损失(万元),235,235,238,4857,-38,--,--,16574,--,--,--,-573,-282,-230,-200,2469,-71,-70,-0,-30,-15,-15,-15,-832,-3,-0,0,8249,-829,600,-0,7319,2339,584,-72,
公允价值变动收益(万元),41042,21469,8529,-12564,25423,24697,29296,10410,7720,13990,2836,-825,-9777,356,1453,-2496,9071,-265,5039,-656,-2947,2247,3449,-43415,-49130,-58218,-29284,39357,71873,35670,21476,11887,1617,733,3751,
投资收益(万元),80634,40720,23442,137978,98691,77691,35479,91349,74836,63657,28954,36572,30604,25511,14185,71781,57482,37840,22252,37143,31303,20040,11708,44281,43725,60975,45884,153159,100323,45819,14920,22364,3461,2340,-2006,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
汇兑收益(万元),58,59,58,-209,-140,-118,-18,-43,57,34,-9,-437,-364,-203,-88,-271,-166,-50,-3,-10,-9,-5,-0,-591,-615,-561,-351,-635,-305,-217,-84,-288,-183,-56,-57,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
托管收益(万元),21476,14384,6069,36350,29100,21143,6589,9548,5530,2207,927,3817,2620,1724,1436,5809,5016,3903,3481,1657,2499,0,0,1,0,--,0,0,0,--,0,88,88,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
营业利润(万元),167686,99332,47765,167341,151039,111773,65254,118098,107262,86133,36262,87930,89755,81585,44896,173964,148980,96526,55055,156486,122498,70997,41967,73613,66757,57275,51868,323208,291951,152756,45978,36248,10062,6160,1193,
营业外收入(万元),1395,970,98,1656,436,254,39,602,427,179,167,330,52,12,1,1354,141,133,127,38,26,11,5,445,420,31,15,70,22,9,3,110,39,89,1,
营业外支出(万元),108,95,80,2084,498,438,139,173,109,54,0,368,285,102,34,302,171,44,13,803,551,358,6,555,348,317,11532,721,137,196,12,1035,346,167,67,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,5,--,--,--,--,
利润总额(万元),168974,100207,47784,166913,150976,111589,65153,118527,107581,86258,36429,87892,89522,81495,44863,175015,148949,96614,55169,155721,121973,70651,41966,73503,66829,56989,40350,322557,291836,152569,45968,35323,9755,6083,1128,
所得税费用(万元),44157,26792,11796,44133,37801,28079,16161,31759,27152,21855,8810,23333,21508,20066,10998,44377,36374,23533,13184,40556,31212,18499,10447,19339,24216,21862,9965,118727,95421,49907,15002,3388,1387,1155,388,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
净利润(万元),124817,73414,35988,122780,113176,83510,48992,86768,80430,64403,27619,64559,68014,61429,33865,130638,112575,73081,41985,115165,90761,52152,31520,54165,42614,35127,30385,203830,196415,102662,30966,31935,8369,4928,740,
归属于母公司所有者的净利润(万元),124740,73367,35955,122729,113177,83510,48992,86768,80430,64403,27619,64559,68014,61429,33865,130638,112575,73081,41985,115165,90761,52152,31520,54165,42614,35127,30385,203830,196415,102662,30966,31935,8369,4928,740,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,--,0,--,--,--,--,0,0,--,0,--,--,--,--,
少数股东损益(万元),76,47,33,51,-1,--,--,--,--,--,--,--,--,0,--,--,--,0,0,0,--,0,0,--,0,--,0,0,0,--,0,--,--,--,--,
基本每股收益,0.31,0.18,0.09,0.31,0.28,0.21,0.25,0.5,0.49,0.44,0.19,0.44,0.47,0.42,0.23,0.89,0.77,0.5,0.29,0.79,0.62,0.36,0.22,0.37,0.29,0.24,0.21,1.39,1.34,0.7,0.21,0.31,0.09,0.08,0.01,
稀释每股收益,0.31,0.18,0.09,0.31,0.28,0.21,0.25,0.5,0.49,0.44,0.19,0.44,0.47,0.42,0.23,0.89,0.77,0.5,0.29,0.79,0.62,0.36,0.22,0.37,0.29,0.24,0.21,1.39,1.34,0.7,0.21,0.31,0.09,0.08,0.01,
