报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),0,0,0,144,144,144,144,863,476,272,170,989,632,402,167,778,533,369,131,783,727,403,203,41979,26524,25586,24657,87141,70300,48423,19173,148483,120214,75589,43250,208822,169422,80927,21191,34970,21363,11423,6918,11556,7399,6634,5562,6948,2742,2378,1418,16587,12077,10792,8681,
营业收入(万元),0,0,0,144,144,144,144,863,476,272,170,989,632,402,167,778,533,369,131,783,727,403,203,41979,26524,25586,24657,87141,70300,48423,19173,148483,120214,75589,43250,208822,169422,80927,21191,34970,21363,11423,6918,11556,7399,6634,5562,6948,2742,2378,1418,16587,12077,10792,8681,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业总成本(万元),301,197,139,36720,1047,975,880,4459,2046,1538,891,62053,3096,2205,1029,76049,25324,2450,1246,4657,5451,3238,1855,50572,30049,26370,25031,95513,73035,51379,20700,149755,119382,74924,43071,209076,169207,80446,20997,34754,21543,11561,6761,11877,7849,6228,5256,8589,3731,2718,1303,11030,8913,7904,6250,
营业成本(万元),0,0,0,533,533,533,533,2813,1482,1166,701,2613,1925,1338,642,2456,1989,1325,638,3158,2396,1609,954,43193,27311,25235,24633,86682,69052,47910,19280,145315,115973,73495,42276,203567,165151,78126,20395,32911,20490,10800,6422,10174,6582,5352,4746,5792,2186,1585,836,6294,4436,4098,3757,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业税金及附加(万元),--,--,--,--,--,--,--,2,--,--,--,2,--,--,--,13,29,27,1,14,14,14,11,88,61,35,18,89,58,43,23,386,264,185,87,417,252,160,83,314,247,161,99,595,473,400,302,493,228,205,129,911,500,373,217,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,--,--,--,--,--,--,--,--,--,--,--,71,71,71,--,5,3,3,2,96,95,49,2,93,4,2,1,6,4,3,2,125,94,92,48,685,522,417,321,
管理费用(万元),301,197,139,460,393,321,226,770,573,378,195,1028,703,499,214,1635,2622,441,182,1621,1173,893,606,1863,1257,816,349,2052,1135,766,311,2777,1696,1095,430,2079,1421,1013,413,1185,619,423,173,796,458,341,126,1168,785,606,223,2832,3433,2999,1945,
财务费用(万元),0,0,0,1,1,0,0,-132,0,0,0,1429,291,194,0,3153,1759,491,245,2406,1672,736,263,3184,982,571,30,3764,432,298,86,1359,735,495,277,1635,1179,565,53,265,157,151,66,566,445,262,81,540,438,230,67,23,23,17,10,
资产减值损失(万元),--,--,--,35727,121,121,121,1006,-10,-6,-5,56981,177,174,173,68742,18924,166,179,-2543,197,-13,22,2244,437,-287,0,2855,2289,2290,1000,-86,710,-349,-1,1282,1108,534,51,-15,27,24,--,-260,-113,-130,--,471,--,0,0,285,0,0,0,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-114,29,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
投资收益(万元),--,--,--,-48222,--,--,--,--,--,--,--,--,--,--,--,-85149,-89701,--,--,--,--,--,--,--,3636,--,--,351,4243,4243,3892,5,--,--,--,498,46,-1,-1,--,--,--,--,--,--,--,--,4608,13290,13290,0,--,0,0,-273,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,14,--,0,0,200,
营业利润(万元),-301,-197,-139,-84797,-903,-831,-736,-3596,-1570,-1266,-721,-61064,-2464,-1803,-862,-160420,-114491,-2081,-1115,-3873,-4724,-2835,-1652,-8593,111,-784,-374,-8021,1507,1286,2365,-1268,831,666,180,245,260,365,222,216,-180,-137,157,-321,-450,406,305,2967,12302,12950,129,5557,3164,2888,2358,
营业外收入(万元),--,--,--,12,13,13,6,73,105,91,4,12,24,9,7,10,3,3,2,5476,5467,586,533,320,825,865,496,3048,31,21,1,28,12,9,3,371,16,0,0,403,304,300,0,5158,5044,316,3,841,1045,1045,1041,70,67,56,40,
