报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2012-12-31,
营业总收入(万元),43103,26824,12081,49327,33592,19375,8879,35411,23069,13181,4847,38189,21187,12924,4322,29823,19587,12378,36,0,
营业收入(万元),43103,26824,12081,49327,33592,19375,8879,35411,23069,13181,4847,38189,21187,12924,4322,29823,19587,12378,36,0,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),39287,24730,11190,45397,30855,18648,8706,31202,20839,12189,4752,33115,19465,12085,4646,26588,18031,11724,13,0,
营业成本(万元),26683,16387,7035,28685,19270,11305,5161,21372,14249,7892,2862,24215,13459,8074,2797,18249,11910,7544,9,0,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1123,727,288,971,615,388,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),161,112,66,297,171,80,12,335,166,88,26,206,62,43,16,237,136,79,0,--,
销售费用(万元),3119,2295,1413,3909,2669,1875,1048,3066,2164,1414,691,2859,2053,1464,714,2630,2056,1505,--,--,
管理费用(万元),8023,5060,2474,10563,7626,4817,2368,5930,4082,2701,1172,5176,3601,2270,1044,5070,3617,2348,3,--,
财务费用(万元),180,150,20,371,224,106,45,133,59,41,3,356,267,200,76,409,288,200,-0,--,
资产减值损失(万元),--,--,-107,601,280,76,72,367,120,53,-2,303,22,34,-2,-7,24,47,--,--,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),1125,1304,136,1,--,--,--,32,--,--,--,--,--,--,--,215,215,215,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4272,2987,1027,3980,2762,736,174,4266,2230,991,95,5074,1723,839,-323,3451,1771,870,23,0,
营业外收入(万元),66,62,17,178,139,42,25,54,43,31,13,66,50,14,0,81,60391,5,7,--,
营业外支出(万元),25,12,2,28,8,6,3,10,1,0,0,17,12,11,10,12,3124,2,4,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,0,--,--,
利润总额(万元),4313,3037,1042,4130,2893,772,195,4310,2272,1022,108,5122,1761,842,-333,3520,59038,873,26,0,
所得税费用(万元),285,95,191,1051,623,276,106,960,608,330,105,1235,280,123,-3,649,318,166,--,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4028,2942,851,3079,2270,496,89,3350,1664,692,2,3888,1481,719,-330,2871,58720,706,26,0,
归属于母公司所有者的净利润(万元),3864,2949,865,2752,2202,454,95,3412,1818,773,77,3646,1397,637,-276,2456,58426,499,26,0,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),164,-7,-14,327,68,42,-6,-62,-154,-81,-74,241,84,81,-54,415,294,208,--,--,
基本每股收益,0.11,0.09,0.03,0.08,0.07,0.01,0,0.1,0.05,0.02,0,0.12,0.05,0.02,-0.01,0.1,2.61,0.03,--,--,
稀释每股收益,0.11,0.09,0.03,0.08,0.07,0.01,0,0.1,0.05,0.02,0,0.12,0.05,0.02,-0.01,0.1,2.61,0.03,--,--,
