报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,
营业总收入(万元),24398,17723,6024,10700,0,124,41,815,524,248,182,168,
营业收入(万元),24398,17723,6024,10700,0,124,41,815,524,248,182,168,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),24856,18162,6936,8537,150,294,108,687,431,206,143,133,
营业成本(万元),19468,14606,5214,6719,0,137,38,327,322,181,137,126,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),2601,1659,--,948,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),63,32,15,44,--,1,1,6,3,--,--,--,
销售费用(万元),1048,748,417,401,--,40,12,94,6,--,--,--,
管理费用(万元),1233,751,1224,1137,150,114,56,227,100,26,6,6,
财务费用(万元),253,186,65,483,0,3,2,-0,-0,-0,--,--,
资产减值损失(万元),190,180,--,-1194,--,--,--,33,--,-1,--,1,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,-261,-257,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),-458,-440,-912,1902,-150,-170,-67,128,93,41,39,35,
营业外收入(万元),458,0,--,157,--,10,--,0,0,--,--,--,
营业外支出(万元),47,32,--,0,34397,385,--,1,1,0,--,--,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
利润总额(万元),-47,-472,-912,2059,-34547,-545,-67,127,92,41,39,35,
所得税费用(万元),381,288,1,398,--,--,--,46,38,--,--,9,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-428,-760,-913,1662,-34547,-545,-67,81,54,41,39,27,
归属于母公司所有者的净利润(万元),-428,-760,-913,1694,-34547,-545,-37,45,54,41,39,27,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,-33,--,--,-30,36,--,--,--,--,
基本每股收益,-0.02,-0.04,-0.05,0.09,-1.86,-0.03,-0,0,--,0,--,0,
稀释每股收益,-0.02,-0.04,-0.05,0.09,-1.86,--,-0,0,--,0,--,0,
