报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
营业总收入(万元),98039,57095,28130,101805,69238,41038,21076,107682,68221,43541,24627,84743,59607,36320,19424,71563,47768,29342,14556,61576,41943,53493,48045,35352,
营业收入(万元),98100,57095,28130,101805,69238,41038,21076,107682,68221,43541,24627,84743,59607,36320,19424,71563,47768,29342,14556,61576,41943,53493,48045,35352,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业总成本(万元),83562,50068,21776,89149,62124,38122,17566,81319,53435,35423,19112,63513,45861,29100,14972,52775,37343,23914,11218,45398,31060,40218,37559,26185,
营业成本(万元),55656,32602,14482,58860,39445,23241,10559,52240,31998,20617,11527,43010,29517,18444,9619,35388,23917,14149,6190,29566,19381,26857,27671,21002,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业税金及附加(万元),314,178,93,521,326,209,108,755,441,262,146,604,418,253,114,444,300,199,80,335,232,274,258,165,
销售费用(万元),10367,7127,3159,12647,8853,6298,3241,13283,9281,6815,4361,12196,8760,6132,3009,9751,6572,4301,1881,6957,4642,5308,3721,1844,
管理费用(万元),17816,10874,4076,20039,15404,9756,4050,17081,13186,8871,3445,11282,9363,5996,2898,9448,7366,5003,2830,7875,5676,7234,4835,2847,
财务费用(万元),-1609,-1102,-475,-2508,-1924,-1296,-600,-3001,-2460,-1582,-758,-3684,-2909,-1998,-1064,-2467,-1633,-540,57,373,265,530,685,316,
资产减值损失(万元),1017,390,442,-408,21,-84,208,961,988,440,391,104,712,273,396,211,821,802,181,292,864,16,389,12,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资收益(万元),0,0,--,454,454,454,454,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
营业利润(万元),14477,7027,6353,13109,7568,3369,3964,26364,14786,8118,5515,21230,13746,7220,4452,18788,10424,5428,3338,16178,10884,13275,10487,9167,
营业外收入(万元),498,426,195,741,297,227,74,289,101,63,14,387,62,40,12,1049,772,747,--,155,126,339,188,47,
营业外支出(万元),609,494,483,204,137,87,76,312,188,115,32,580,238,114,11,528,129,54,15,157,130,131,492,85,
非流动资产处置损失(万元),364,364,364,45,33,24,17,80,25,10,8,338,63,6,6,464,63,47,--,3,1,75,412,24,
利润总额(万元),14366,6959,6065,13647,7727,3509,3962,26341,14699,8066,5496,21038,13570,7146,4454,19309,11067,6121,3323,16176,10880,13483,10183,9129,
