报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),538,309,109,1811,1528,1091,498,4188,2326,1135,14127,11578,10031,6177,37231,26476,21378,8270,41901,30761,22604,8911,47347,30199,22053,8289,46155,41535,35409,29458,26528,
营业收入(万元),538,309,92,1811,1528,1091,469,4188,2326,1135,14127,11578,10031,6177,37231,26476,21378,8270,41901,30761,22604,8911,47347,30199,22053,8289,46155,41535,35409,29458,26528,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,16,--,--,--,29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),3339,2378,760,21122,8550,9926,4125,12091,5878,1967,24460,13691,10965,6223,38063,25375,20085,7928,38057,27811,20498,8675,41434,27133,19967,7761,40534,36384,30930,25489,23296,
营业成本(万元),392,232,109,1329,1114,726,296,4686,2426,916,11929,9308,8035,4935,27211,19147,15393,6010,29434,21826,16071,6512,34206,21714,15975,5709,33240,30352,26360,21540,20610,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),94,64,33,128,98,67,38,140,72,16,227,134,133,109,113,104,103,33,252,192,169,55,288,161,144,41,293,217,114,160,84,
销售费用(万元),191,180,--,666,306,180,96,607,392,146,1262,920,620,298,1984,1484,1136,607,2153,1410,1005,534,1830,1344,1030,560,1951,1932,1549,1238,830,
管理费用(万元),2596,1836,622,5979,3114,2088,954,3997,1612,823,4201,2285,1405,563,4479,2491,1828,799,3801,2918,2100,1128,3378,2564,1773,937,3281,2880,2364,1997,1264,
财务费用(万元),-6,-7,-8,1374,96,91,13,311,129,67,1057,850,579,273,1204,966,668,235,1217,998,687,337,1482,1051,724,315,1558,816,343,367,408,
资产减值损失(万元),72,72,--,11647,3821,6774,2708,2351,1248,--,5783,193,193,46,3073,1183,957,245,1199,466,466,108,250,299,322,200,211,186,201,187,102,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,-30,-30,-30,--,70,16,--,-126,29,29,--,-22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,8,--,--,-185,--,--,--,-45,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
