报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),4,32,0,0,0,2,1,1,1,17,7,7,5,31,25,6,4,131,128,51,47,95,66,51,21,105,33,13,8,31,30,22,18,154,121,92,520,1676,1204,751,1948,
营业收入(万元),4,32,0,0,0,2,1,1,1,17,7,7,5,31,25,6,4,131,128,51,47,95,66,51,21,105,33,13,8,31,30,22,18,154,121,92,520,1676,1204,751,1948,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
营业总成本(万元),67,176,196,134,58,216,183,131,74,302,274,218,145,261,250,161,68,1180,1162,1024,120,2032,1159,1071,142,2228,1105,1016,122,1676,1169,1072,153,2492,1394,1235,2237,5059,4479,4119,47244,
营业成本(万元),3,2,0,--,1,1,0,0,0,70,69,68,67,32,29,2,0,125,124,53,47,112,82,71,31,90,24,12,7,18,18,11,10,52,46,37,726,1486,1065,544,1801,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
