报告日期,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),228803,131585,39413,195776,143346,82856,24271,145324,105551,72695,25480,126185,89296,51474,16150,116654,86981,48366,14659,
营业收入(万元),228803,131585,39185,195776,143346,82856,24271,145324,105551,72695,25480,126185,89296,51474,16150,116654,86981,48366,14659,
利息收入(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
已赚保费(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
手续费及佣金收入(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
房地产销售收入(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
其他业务收入(万元),--,--,228,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
营业总成本(万元),219817,127746,42564,188432,133917,80038,26168,149114,109426,73758,28174,126193,88807,52481,18919,117243,87048,49147,16637,
营业成本(万元),197872,113986,34620,162236,113468,66409,20378,124085,89595,61587,22038,102024,71002,41130,13506,94324,70155,39049,12431,
利息支出(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
手续费及佣金支出(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
房地产销售成本(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
研发费用(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
退保金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
赔付支出净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
保单红利支出(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
分保费用(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
其他业务成本(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
营业税金及附加(万元),619,299,144,764,476,324,28,585,420,296,67,481,328,163,23,515,406,221,55,
销售费用(万元),8168,5044,2333,8217,6369,4392,1396,8703,6903,4232,1825,9653,7024,4361,1874,8726,7147,3995,1571,
管理费用(万元),9439,6426,3158,12284,9221,6631,3238,9812,7730,4535,2626,7645,6310,4205,2366,8281,5662,3557,1700,
财务费用(万元),3138,1948,911,3963,3099,2014,811,5706,4583,3078,1442,5292,3889,2682,1333,4888,3709,2452,1243,
资产减值损失(万元),581,43,1396,967,1283,267,318,223,195,30,175,1097,253,-61,-182,509,-32,-128,-363,
公允价值变动收益(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
投资收益(万元),-15,-10,-5,-461,-483,-66,25,12,-45,99,-7,166,-122,-43,-40,-124,-77,-52,-52,
对联营企业和合营企业的投资收益(万元),--,--,--,0,-115,-115,--,84,-45,--,--,186,-122,--,-40,-107,-77,0,-52,
汇兑收益(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,
期货损益(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
托管收益(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
补贴收入(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
其他业务利润(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
营业利润(万元),8971,3828,-3156,6883,8946,2752,-1873,-3778,-3921,-965,-2701,158,367,-1050,-2809,-713,-144,-832,-2029,
营业外收入(万元),6659,6228,2703,10693,5889,2654,1193,10841,7465,3460,857,8441,4590,2144,745,7652,4657,2220,668,
营业外支出(万元),1795,1762,31,4110,518,92,46,318,108,92,16,659,283,261,235,412,109,57,36,
非流动资产处置损失(万元),1496,1492,--,1699,375,54,39,221,23,23,12,536,73,--,34,383,89,0,--,
利润总额(万元),13835,8295,-484,13466,14318,5314,-726,6744,3436,2403,-1861,7940,4674,833,-2298,6527,4404,1331,-1397,
所得税费用(万元),2622,1698,-143,4159,2705,1009,134,1994,426,256,-13,441,256,119,-84,479,129,37,-86,
未确认投资损失(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
净利润(万元),11213,6596,-341,9307,11613,4305,-860,4750,3010,2147,-1847,7499,4419,715,-2214,6048,4275,1294,-1310,
归属于母公司所有者的净利润(万元),8750,5111,-610,7432,9239,3921,-586,3478,2859,1886,-1581,5098,2924,226,-1948,3646,2375,396,-1398,
被合并方在合并前实现净利润(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,
少数股东损益(万元),2463,1486,270,1875,2374,385,-273,1273,151,261,-266,2401,1495,489,-266,2402,1900,927,88,
基本每股收益,0.23,0.13,-0.02,0.2,0.24,0.1,-0.02,0.09,0.08,0.05,-0.04,0.13,0.08,0.01,-0.05,0.1,0.06,0.01,-0.04,
稀释每股收益,0.23,0.13,-0.02,0.2,0.24,0.1,-0.02,0.09,0.08,0.05,-0.04,0.13,0.08,0.01,-0.05,0.1,0.06,0.01,-0.04,
