报告日期,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),230016,154590,70928,291988,210704,141778,65771,238217,175225,126504,42878,
营业收入(万元),230016,154590,70928,291988,210704,141778,65771,238217,175225,126504,42878,
利息收入(万元),--,--,--,--,--,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),226225,152410,68437,290970,206688,138272,62754,240529,176155,127644,43102,
营业成本(万元),196128,131902,58885,253175,181134,121546,54823,202771,150323,109379,36036,
利息支出(万元),--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,0,0,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,0,0,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,0,0,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,0,0,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,0,0,--,--,0,0,
分保费用(万元),--,--,--,--,--,0,0,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),610,406,156,1062,470,279,110,1123,537,390,105,
销售费用(万元),12124,8167,4119,13331,10490,6906,3232,11765,8858,6239,2648,
管理费用(万元),15654,10612,4641,21559,13978,9340,4197,23912,14886,10763,3873,
财务费用(万元),1495,1142,636,1796,1180,765,391,1979,1551,873,440,
资产减值损失(万元),214,182,--,47,-563,-563,0,-1022,--,0,0,
公允价值变动收益(万元),--,--,--,--,--,0,0,--,--,0,0,
投资收益(万元),48259,31331,12869,44206,43558,32620,15020,59666,46275,30108,16599,
对联营企业和合营企业的投资收益(万元),--,--,12869,--,--,0,0,--,--,0,0,
汇兑收益(万元),--,--,--,--,--,0,0,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),52050,33511,15360,45225,47574,36126,18038,57354,45345,28968,16376,
营业外收入(万元),32,27,8,216,23,10,1,89,25,12,1,
营业外支出(万元),127,63,1,123,1,1,1,23,57,32,26,
非流动资产处置损失(万元),--,--,--,--,--,0,0,--,--,0,0,
利润总额(万元),51955,33475,15367,45317,47596,36135,18038,57419,45313,28947,16350,
所得税费用(万元),419,132,215,1538,1027,787,554,1434,718,311,151,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),51536,33342,15152,43779,46569,35348,17484,55985,44595,28637,16200,
归属于母公司所有者的净利润(万元),51956,33628,15272,44066,46569,35348,17484,56039,44595,28637,16200,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-420,-286,-120,-288,--,0,0,-54,--,0,0,
基本每股收益,1,0.65,0.29,0.85,0.9,0.68,0.34,1.08,--,0.55,0,
稀释每股收益,1,0.65,0.29,0.85,0.9,0.68,0.34,1.08,--,0.55,0,
