报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2013-12-31,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2011-03-31,2010-12-31,
营业总收入(万元),1221,725,275,3458,1313,794,387,4159,3136,2246,1752,5371,419,419,0,1473,0,--,0,0,0,0,0,0,150,
营业收入(万元),1221,725,275,3458,1313,794,387,4159,3136,2246,1752,5371,419,419,0,1473,0,--,0,0,0,0,0,0,150,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
营业总成本(万元),792,475,204,1855,878,554,275,2663,2117,1577,1146,2266,598,575,29,1122,161,--,322,28,0,2761,33,0,839,
营业成本(万元),380,236,85,1225,482,280,132,1287,940,649,487,1718,293,293,0,768,0,--,0,0,0,0,0,0,13,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
营业税金及附加(万元),11,12,4,48,21,9,5,47,35,36,35,101,7,7,--,25,--,--,--,--,--,--,0,0,7,
销售费用(万元),--,--,--,49,32,30,21,60,34,23,14,27,2,2,--,5,--,--,--,--,--,--,0,0,--,
管理费用(万元),402,227,115,532,343,236,117,1272,1110,870,610,357,231,226,29,216,81,--,82,28,--,101,33,0,289,
财务费用(万元),0,0,0,-0,-0,-0,0,-3,-2,-0,-0,63,63,47,-0,107,80,--,240,--,--,240,0,0,343,
资产减值损失(万元),-0,-0,--,1,--,0,--,--,--,--,--,--,2,--,--,--,--,--,--,--,--,2420,0,0,188,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,200,--,--,--,--,--,0,0,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
营业利润(万元),430,250,71,1608,435,239,112,1496,1019,669,606,3105,-179,-156,-29,351,39,--,-322,-28,0,-2761,-33,0,-689,
营业外收入(万元),--,--,--,0,0,0,--,1,0,1,--,5111,--,--,--,137,--,--,--,--,--,--,0,0,1,
营业外支出(万元),--,--,--,7,5,0,0,47,1,43,0,--,--,--,--,--,--,--,--,--,--,--,0,0,2,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
利润总额(万元),430,250,71,1602,431,239,112,1450,1019,627,606,8215,-179,-156,-29,488,39,--,-322,-28,0,-2761,-33,0,-691,
所得税费用(万元),159,88,18,427,121,63,40,356,111,71,73,167,25,20,--,156,--,--,--,--,--,--,0,0,--,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
净利润(万元),270,161,53,1174,310,177,72,1094,908,556,533,8048,-204,-176,-29,332,39,-322,-322,-28,0,-2761,-33,-33708,-691,
归属于母公司所有者的净利润(万元),270,161,53,1176,310,177,72,1093,906,554,533,8044,-204,-176,-29,332,39,-322,-322,-28,0,-2761,-33,-33708,-691,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,
少数股东损益(万元),-0,-0,-0,-1,-1,-1,-0,1,1,2,--,4,--,--,--,--,--,--,--,--,--,--,0,0,--,
基本每股收益,0.02,0.01,0,0.08,0.02,0.01,0.01,0.08,0.06,0.04,0.04,0.57,-0.01,-0.01,-0,0.02,0,-0.02,-0.02,-0,-0.05,-0.2,-0,0,-0.05,
稀释每股收益,0.02,0.01,0,0.08,0.02,0.01,0.01,0.08,0.06,0.04,0.04,0.57,-0.01,-0.01,-0,0.02,0,-0.02,-0.02,-0,--,-0.2,-0,0,-0.05,
