报告日期,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),182,121,61,122,0,0,
营业收入(万元),182,121,61,122,0,0,
利息收入(万元),0,0,0,0,0,0,
已赚保费(万元),0,0,0,0,0,0,
手续费及佣金收入(万元),0,0,0,0,0,0,
房地产销售收入(万元),0,0,--,0,0,--,
其他业务收入(万元),0,0,--,0,0,--,
营业总成本(万元),2071,1260,51,4256,2803,1468,
营业成本(万元),94,68,17,79,0,0,
利息支出(万元),0,0,0,0,0,0,
手续费及佣金支出(万元),0,0,0,0,0,0,
房地产销售成本(万元),0,0,--,0,0,--,
研发费用(万元),0,0,--,0,0,--,
退保金(万元),0,0,0,0,0,0,
赔付支出净额(万元),0,0,0,0,0,0,
提取保险合同准备金净额(万元),0,0,0,0,0,0,
保单红利支出(万元),0,0,0,0,0,0,
分保费用(万元),0,0,0,0,0,0,
其他业务成本(万元),0,0,--,0,0,--,
营业税金及附加(万元),0,0,0,0,0,0,
销售费用(万元),33,23,0,10,3,2,
管理费用(万元),645,469,9,2128,1399,666,
财务费用(万元),1300,700,25,2038,1400,800,
资产减值损失(万元),0,0,0,0,0,0,
公允价值变动收益(万元),0,0,0,0,0,0,
投资收益(万元),0,0,0,0,0,0,
对联营企业和合营企业的投资收益(万元),0,0,0,0,0,0,
汇兑收益(万元),0,0,0,0,0,0,
期货损益(万元),0,0,--,0,0,--,
托管收益(万元),0,0,--,0,0,--,
补贴收入(万元),0,0,--,0,0,--,
其他业务利润(万元),0,0,--,0,0,--,
营业利润(万元),-1890,-1139,10,-4134,-2803,-1468,
营业外收入(万元),0,0,0,0,0,0,
营业外支出(万元),1,1,0,0,0,0,
非流动资产处置损失(万元),0,0,0,0,0,0,
利润总额(万元),-1890,-1139,10,-4135,-2803,-1468,
所得税费用(万元),0,0,0,0,0,0,
未确认投资损失(万元),0,0,--,0,0,--,
净利润(万元),-1890,-1139,10,-4135,638,-1468,
归属于母公司所有者的净利润(万元),-1890,-1139,10,-4135,638,-1468,
被合并方在合并前实现净利润(万元),--,--,--,--,0,--,
少数股东损益(万元),0,0,0,0,0,0,
基本每股收益,-0.17,-0.11,0,-0.4,-0.27,0,
稀释每股收益,-0.17,-0.11,0,-0.4,-0.27,0,
