报告日期,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),15007,6937,128889,126502,105237,91149,141168,23835,10430,6784,109442,70603,63154,44037,
营业收入(万元),15007,6937,128889,126502,105237,91149,141168,23835,10430,6784,109442,70603,63154,44037,
利息收入(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
已赚保费(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
手续费及佣金收入(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
房地产销售收入(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),8439,4152,63221,60369,50585,41777,78096,20333,7610,3550,72588,51250,44833,27805,
营业成本(万元),4712,2450,49249,47305,40592,34446,65460,16453,5164,2167,62391,45004,39462,24551,
利息支出(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
手续费及佣金支出(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
房地产销售成本(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
研发费用(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
退保金(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
赔付支出净额(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
保单红利支出(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
分保费用(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
其他业务成本(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
营业税金及附加(万元),1128,450,7880,7749,6453,5710,8292,878,466,363,5986,3411,3187,2589,
销售费用(万元),271,98,476,413,333,188,830,609,502,195,1739,1108,1010,213,
管理费用(万元),1442,771,2815,2085,1415,662,2250,1517,943,565,1777,1348,775,317,
财务费用(万元),737,372,2628,2670,1660,787,1209,801,491,237,625,459,345,136,
资产减值损失(万元),149,11,173,147,131,-16,55,75,43,23,70,-80,53,-1,
公允价值变动收益(万元),100,45,1,--,--,--,--,69,25,65,43,12,14,-2,
投资收益(万元),1470,1074,1455,1378,1151,309,448,243,172,118,254,126,23,5,
对联营企业和合营企业的投资收益(万元),--,--,1450,--,--,--,--,--,0,0,--,--,0,--,
汇兑收益(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
期货损益(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
托管收益(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
补贴收入(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
其他业务利润(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
营业利润(万元),8138,3903,67124,67511,55803,49681,63521,3814,3017,3417,37152,19490,18359,16234,
营业外收入(万元),3777,--,4217,4217,4152,2,2177,289,288,280,2781,2245,1,0,
营业外支出(万元),59,39,123,127,56,44,513,11,7,3,258,150,93,17,
非流动资产处置损失(万元),--,--,0,--,--,--,--,--,0,0,--,--,0,--,
利润总额(万元),11856,3865,71217,71601,59899,49639,65185,4092,3297,3694,39675,21586,18266,16218,
所得税费用(万元),4111,1055,18487,18526,15408,12770,21318,1635,1090,1209,12483,6633,6237,5390,
未确认投资损失(万元),--,--,0,--,--,--,--,--,0,--,--,--,0,--,
净利润(万元),7745,2810,52729,53075,44491,36870,43867,2456,2207,2486,27192,14953,12029,10827,
归属于母公司所有者的净利润(万元),3738,1464,25094,25475,21682,17352,21578,869,875,1099,13224,7135,5759,5318,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),4007,1345,27635,27600,22809,19518,22290,1587,1332,1387,13967,7817,6270,5509,
基本每股收益,0.12,0.05,0.83,0.84,0.71,0.57,0.71,0.03,0.03,0.04,0.44,0.38,0.41,0.38,
稀释每股收益,0.12,0.05,0.83,0.84,0.71,0.57,0.71,0.03,0.03,0.04,0.44,0.38,0.41,0.38,
