报告日期,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),28280,18859,9403,30897,24696,16382,9015,24644,19431,12639,6058,23021,18953,13006,6889,
营业收入(万元),28280,18859,9403,30897,24696,16382,9015,24644,19431,12639,6058,23021,18953,13006,6889,
利息收入(万元),--,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
已赚保费(万元),0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
手续费及佣金收入(万元),0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
营业总成本(万元),25602,17538,8016,30591,23785,16196,9576,28595,19557,13178,6870,24323,19681,13763,7076,
营业成本(万元),12689,8449,4379,15604,12374,7891,4711,12875,10725,7234,3620,13296,12053,8439,4290,
利息支出(万元),--,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
手续费及佣金支出(万元),0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
退保金(万元),0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
赔付支出净额(万元),0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
提取保险合同准备金净额(万元),0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
保单红利支出(万元),0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
分保费用(万元),0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
营业税金及附加(万元),342,228,118,363,130,91,43,303,94,59,26,177,77,49,25,
销售费用(万元),5319,3310,1785,5139,1720,1355,586,3884,1611,912,521,2831,2431,1788,993,
管理费用(万元),5043,3525,1537,6650,7530,5038,2801,5682,5505,3632,2414,5952,4123,2791,1434,
财务费用(万元),765,529,196,1207,984,658,443,1134,818,538,289,1660,997,697,334,
资产减值损失(万元),1445,1496,0,1628,1047,1163,993,4717,803,803,0,408,--,0,0,
公允价值变动收益(万元),0,0,0,--,0,0,0,0,--,0,0,0,--,0,0,
投资收益(万元),1897,1003,339,2683,2227,1968,1960,8564,5054,5054,3913,-106,62,62,0,
对联营企业和合营企业的投资收益(万元),0,0,0,--,0,0,0,0,--,0,0,0,--,0,0,
汇兑收益(万元),0,0,--,--,--,0,0,0,--,0,0,0,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
营业利润(万元),4575,2324,1726,2989,3138,2154,1399,4613,4928,4515,3101,-1408,-667,-695,-187,
营业外收入(万元),110,145,8,275,34,4,4,500,94,93,82,2309,482,413,347,
营业外支出(万元),278,71,3,542,252,251,226,117,23,7,3,889,27,21,1,
非流动资产处置损失(万元),0,4,0,--,0,0,0,0,--,0,0,0,--,0,0,
利润总额(万元),4407,2397,1732,2723,2921,1907,1178,4997,4999,4602,3179,11,-212,-303,159,
所得税费用(万元),-256,-387,301,887,1011,657,205,689,430,279,83,805,849,238,95,
未确认投资损失(万元),--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,
净利润(万元),4663,2784,1431,1835,1910,1249,972,4308,4569,4322,3096,-794,-1061,-541,64,
归属于母公司所有者的净利润(万元),3606,1919,1093,1164,1351,903,782,4032,4313,4140,3009,-890,-897,-445,55,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1057,865,338,672,558,347,191,276,255,182,87,96,-164,-96,9,
基本每股收益,0.17,0.09,0.05,0.05,0.06,0.04,0.04,0.19,0.2,0.19,0.14,-0.04,-0.04,-0.02,0,
稀释每股收益,0.17,0.09,0.05,0.05,0.06,0.04,0.04,0.19,0.2,0.19,0.14,-0.04,-0.04,-0.02,0,
