报告日期,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),361302,259285,126860,619887,475891,324883,149940,487949,357115,226488,92185,470845,339983,223316,86297,456039,317246,211925,90685,419654,286197,204690,172885,
营业收入(万元),361302,259285,126860,619887,475891,324883,149940,487949,357115,226488,92185,470845,339983,223316,86297,456039,317246,211925,90685,419654,286197,204690,172885,
利息收入(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
营业总成本(万元),371147,261071,129043,603152,457007,308566,144227,484975,348363,221804,91251,459075,326406,215688,84220,441991,305105,205809,88384,417438,283027,202237,168866,
营业成本(万元),278847,198201,99267,463903,358208,243553,115155,363090,264852,171552,71941,337944,242608,161231,61391,333178,228171,157259,68841,331300,233009,169718,146265,
利息支出(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
退保金(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,0,--,--,0,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,--,0,--,--,--,0,--,
营业税金及附加(万元),36391,26528,12640,62508,46338,31228,14626,45729,31479,18274,7658,51513,36207,22664,6850,51156,35231,24151,8732,35443,20526,11818,8564,
