报告日期,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),1743070,10429049,6416647,3880520,1468783,9724067,5843266,3691467,1815116,9243130,6430107,4284523,1839894,8935318,6418158,4113245,1947904,6218432,3908799,2487492,969589,4051592,2473311,1482946,710862,3471072,2637121,2098038,
营业收入(万元),1743070,10429049,6416647,3880520,1468783,9724067,5843266,3691467,1815116,9243130,6430107,4284523,1839894,8935318,6418158,4113245,1947904,6218432,3908799,2487492,969589,4051592,2473311,1482946,664005,3471072,2637121,2098038,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,46857,--,0,0,
营业总成本(万元),1619642,9828772,5962532,3612056,1369851,9265989,5573782,3509716,1735018,8905050,6171316,4099488,1767592,8644006,6192441,3948112,1892182,6031867,3758577,2405376,945910,3976697,2398258,1450700,694386,3367039,2552110,2065280,
营业成本(万元),1372741,8462426,5164067,3108957,1162145,8010339,4860723,3051729,1535278,7889253,5525395,3681281,1588046,7734879,5628041,3594553,1741771,5394301,3394715,2193074,854548,3544512,2129464,1278424,568713,2950727,2209174,1774641,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,0,--,0,0,
