 报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2013-06-30,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31, 
 销售商品、提供劳务收到的现金(万元),42388,39310,23740,87707,58340,48493,24071,93287,40287,31104,16962,17468,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 收到的税费返还(万元),7,--,--,6,6,--,--,1,1,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),5867,4525,8261,24102,26316,21721,5832,2936,5725,5804,1189,9115,--,--,0,--,0,0,0,--,--,--,0,5,4,4,4,11,9,6,3, 
 经营活动现金流入小计(万元),48263,43836,32002,111815,84662,70214,29903,96223,46013,36908,18151,26583,0,0,0,--,0,0,0,0,0,0,0,5,4,4,4,11,9,6,3, 
 购买商品、接受劳务支付的现金(万元),31075,29697,18750,85755,57543,44645,16527,85314,37643,29830,17794,19119,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1559,709,336,1437,1071,679,343,1525,1188,738,448,139,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 支付的各项税费(万元),1371,1240,500,2011,1810,1539,730,1581,1502,1400,317,143,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 支付的其他与经营活动有关的现金(万元),14623,12661,12956,23530,26714,25511,13424,11252,10344,8886,2464,2005,--,--,0,--,0,0,0,--,--,--,0,5,5,4,3,11,9,5,4, 
 经营活动现金流出小计(万元),48629,44307,32541,112733,87137,72374,31024,99672,50677,40854,21024,21406,0,0,0,--,0,0,0,0,0,0,0,5,5,4,3,11,9,5,4, 
 经营活动产生的现金流量净额(万元),-366,-472,-539,-918,-2475,-2160,-1121,-3449,-4664,-3946,-2873,5177,0,0,0,--,0,0,0,0,0,0,0,-0,-0,1,1,0,-0,0,-0, 
 收回投资所收到的现金(万元),--,--,--,1541,1314,901,381,1018,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,33,72,55,10,54,--,--,--,--,--,--,0,--,0,0,0,--,--,--,0,0,--,--,--,--,--,--,--, 
