 报告日期,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31, 
 销售商品、提供劳务收到的现金(万元),509171,391664,249229,99994,430551,287261,214027,98529,388282,281616,185679,92076,311715,217245,152343,70448,292095,212178,177769,85233,309222,212355,140436,66719,310389,208407,144192,58606, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,15,0,9,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--, 
 收到的其他与经营活动有关的现金(万元),10646,7888,5149,2191,9247,7559,5533,2718,14077,11665,8411,3198,12389,8079,3241,1523,6242,5668,4144,2864,11898,4362,3655,2612,7857,4829,6248,578, 
 经营活动现金流入小计(万元),519817,399552,254378,102185,439798,294820,219560,101247,402359,293296,194090,95283,324104,225324,155584,71971,298337,217846,181913,88098,321120,216716,144092,69331,318246,213236,150440,59183, 
 购买商品、接受劳务支付的现金(万元),285908,226419,142011,51377,262420,158132,129448,60138,229883,164746,108324,53255,173742,118342,89017,39655,179199,129992,111869,50873,191214,126956,80115,40756,176015,118278,86399,31849, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 支付给职工以及为职工支付的现金(万元),83533,53698,37904,17742,68865,44388,33643,16319,61084,38206,25383,12392,43900,29947,20763,10950,44156,28993,22680,12360,43392,28114,19047,9559,39225,26177,17220,9274, 
 支付的各项税费(万元),42846,34059,23411,12006,35310,26896,17345,9115,29260,22573,14723,8226,28790,21912,14924,7235,27441,21461,18911,10280,31323,20000,14232,6463,33795,24916,15085,6921, 
 支付的其他与经营活动有关的现金(万元),56028,41880,23998,14947,45812,43082,23946,14354,49411,38407,24655,11900,47657,36117,21360,11628,39188,33311,25487,12706,48562,35144,25921,13487,59148,40274,30053,11396, 
 经营活动现金流出小计(万元),468315,356056,227324,96071,412406,272497,204382,99927,369638,263932,173084,85773,294089,206318,146064,69468,289984,213758,178947,86219,314492,210215,139315,70265,308183,209645,148756,59440, 
 经营活动产生的现金流量净额(万元),51502,43496,27053,6113,27391,22323,15179,1320,32721,29364,21006,9510,30014,19006,9521,2503,8353,4088,2966,1879,6628,6501,4777,-934,10063,3591,1684,-256, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,751,0,0,--,0,--,0,--,4328,4328,4328,--,3204,3204,3204,2762,43,86,0,--, 
 取得投资收益所收到的现金(万元),4003,4003,2001,--,2003,2001,--,--,1,4,0,--,1022,1022,1000,500,2748,1548,150,100,53,2053,402,52,115,115,119,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),246,235,235,13,551,15,12,9,3113,2327,2680,2285,5063,2756,2667,2340,2,42,44,42,1385,1367,18,7,685,347,341,11, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,2,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
 投资活动现金流入小计(万元),4249,4238,2235,13,2553,2018,12,9,3865,2330,2680,2285,6084,3777,3667,2840,7079,5918,4522,142,4643,6624,3624,2821,843,548,460,11, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),13462,7612,4824,1697,6722,4804,3471,1706,8479,4817,1978,782,2652,2235,1507,952,2835,1989,1961,1100,6238,2865,1454,917,6029,3645,2748,1814, 
 投资所支付的现金(万元),262,60,30,30,--,--,--,--,3,0,5,--,150,150,0,--,350,--,0,--,0,--,0,--,935,810,810,810, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,--,0,--,0,--,0,--,0,--,--,--,0,--, 
