 报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),28682,24267,79442,72977,--,68546,113740,92046,47046,34973, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),194,476,1162,633,--,118,1390,293,112,143, 
 经营活动现金流入小计(万元),28877,24742,80605,73610,--,68664,115130,92339,47158,35115, 
 购买商品、接受劳务支付的现金(万元),27052,18502,92533,92331,--,74189,121552,89988,54603,35622, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),834,2669,4369,4521,--,2159,3810,3237,1979,1091, 
 支付的各项税费(万元),1207,400,3062,6525,--,4351,3549,2072,908,1312, 
 支付的其他与经营活动有关的现金(万元),215,777,1121,1666,--,818,1920,2261,1187,951, 
 经营活动现金流出小计(万元),29308,22349,101085,105043,--,81518,130831,97558,58677,38976, 
 经营活动产生的现金流量净额(万元),-431,2394,-20480,-31433,-25943,-12854,-15701,-5219,-11519,-3861, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,6,--,--,--,304,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,70,--,374, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,6,--,0,0,374,0,374, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1,90,174,261,--,2219,1375,3484,3201,3410, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,119,--,--,--,--,--,--,96, 
 支付的其他与投资活动有关的现金(万元),--,162,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1,252,293,261,--,2219,1375,3484,3201,3506, 
 投资活动产生的现金流量净额(万元),-1,-252,-293,-255,--,-2219,-1375,-3109,-3201,-3132, 
 吸收投资收到的现金(万元),--,--,68407,--,--,--,--,--,6400,5015, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),7029,61465,90864,122820,--,50867,93610,52122,25775,10140, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,30589,198970,178851,--,1450,--,--,--,--, 
 筹资活动现金流入小计(万元),7029,92054,358240,301671,--,52317,93610,52122,32175,15154, 
 偿还债务支付的现金(万元),6273,40853,108172,121672,--,35577,63007,30259,15794,5554, 
 分配股利、利润或偿付利息所支付的现金(万元),423,1401,8538,11164,--,4538,6344,6639,1627,399, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,51638,221129,151473,--,3758,1513,--,--,--, 
 筹资活动现金流出小计(万元),6696,93892,337839,284309,--,43873,70864,36899,17421,5952, 
