 报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),81920,56832,22811,123507,70738,44949,19746,102913,59544,43714,21312,91596,50298,32568,14572,77441,33880,18773,9095,60883,28865,54081,51897,40039, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到的其他与经营活动有关的现金(万元),3409,1410,397,3237,2712,2142,591,3923,3916,3631,418,4280,2084,1679,672,1980,1617,1348,56,629,67,425,279,2186, 
 经营活动现金流入小计(万元),85329,58242,23208,126744,73450,47090,20337,106836,63460,47344,21730,95876,52382,34247,15244,79421,35497,20121,9151,61512,28932,54505,52176,42225, 
 购买商品、接受劳务支付的现金(万元),50954,37382,18447,65111,41754,30958,15258,45512,31014,25375,12290,43218,30064,21698,11772,36937,26125,18163,10410,27802,19111,22215,31403,21533, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),9821,6552,3503,14434,12144,8409,3728,12764,9765,6561,3552,10005,8314,5454,2959,7240,5270,3929,1801,5453,4130,4229,4127,1846, 
 支付的各项税费(万元),5944,4977,2369,9683,7418,5967,4310,10999,7419,5298,3049,10167,7016,4840,3937,6752,4937,2674,1605,6350,4493,5615,4672,2315, 
 支付的其他与经营活动有关的现金(万元),19404,13533,4191,21856,13120,9326,4015,20916,15339,11028,5023,14859,12175,8023,4478,14390,8962,6575,3549,11486,7139,9364,8491,2126, 
 经营活动现金流出小计(万元),86123,62444,28510,111084,74437,54659,27310,90192,63538,48263,23914,78249,57568,40017,23145,65319,45294,31342,17365,51092,34873,41424,48694,27820, 
 经营活动产生的现金流量净额(万元),-794,-4202,-5303,15660,-986,-7569,-6973,16644,-78,-919,-2185,17627,-5186,-5770,-7901,14101,-9796,-11222,-8214,10421,-5941,13082,3482,14405, 
 收回投资所收到的现金(万元),--,--,--,10000,10000,10000,10000,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 取得投资收益所收到的现金(万元),0,0,--,454,454,454,454,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),228,228,--,387,13,--,--,26,11,--,--,8,0,0,--,367,6,--,--,315,226,2104,2536,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),--,341,--,241,--,--,--,450,--,--,1907,--,--,0,--,--,--,--,--,0,0,--,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 投资活动现金流入小计(万元),228,569,0,11082,10467,10454,10454,476,11,0,1907,8,0,0,0,367,6,0,0,315,226,2104,2536,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9815,6057,4773,17551,13717,6528,4466,14654,11074,7787,3946,10215,5418,3107,1386,5220,2004,1403,521,5011,3798,7999,11205,7043, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,10000,--,--,12672,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),1056,1056,--,1056,1056,1056,--,10965,10965,10965,--,--,--,--,--,--,--,--,--,0,0,--,1732,1800, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,--,0,0, 
